,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
355,14-7C,21.58,border,infarct,sbrt,,,,,,,,,,,,14,7C,7,mid,3.0
356,14-7D,0.73,healthy,infarct,sbrt,,,,,,,,,,,,14,7D,7,mid,3.0
357,14-8A,23.31,border,infarct,sbrt,False,393197.0,182276.0,2333774.0,12.803517742324827,0.4635742388675397,575473,5.935380992225271,4.055401382862446,0.683258814922681,12.072887433467773,14,8A,8,mid,3.0
358,14-8B,24.28,border,infarct,sbrt,False,372135.0,193303.0,2438240.0,12.613565231786367,0.5194432128125546,565438,6.552030849019845,4.312126174753024,0.6581358168357981,12.390866461044359,14,8B,8,mid,3.0
359,14-8C,18.99,border,infarct,sbrt,,,,,,,,,,,,14,8C,8,mid,3.0
360,14-8D,0.92,healthy,infarct,sbrt,,,,,,,,,,,,14,8D,8,mid,3.0
361,14-9A,32.22,,infarct,sbrt,,,,,,,,,,,,14,9A,9,mid,3.0
362,14-9B,29.39,,infarct,sbrt,,,,,,,,,,,,14,9B,9,mid,3.0
363,14-9C,19.72,,infarct,sbrt,,,,,,,,,,,,14,9C,9,mid,3.0
364,14-9D,1.84,healthy,infarct,sbrt,,,,,,,,,,,,14,9D,9,mid,3.0
365,15-1A,37.65,border,infarct,sbrt,,,,,,,,,,,,15,1A,1,apex,3.0
366,15-1B,15.17,border,infarct,sbrt,,,,,,,,,,,,15,1B,1,apex,3.0
367,15-2A,45.94,center,infarct,sbrt,False,657563.0,303379.0,3893068.0,12.832358205413032,0.461368720563657,960942,5.920448687045956,4.051303824788593,0.6842899987720382,17.09030721937432,15,2A,2,apex,3.0
368,15-2B,42.5,border,infarct,sbrt,False,514856.0,246443.0,3341191.5,13.557664449791636,0.47866393710085925,761299,6.489565043429619,4.388803216607404,0.676286189788769,17.899844213640108,15,2B,2,apex,3.0
369,15-2C,8.39,healthy,infarct,sbrt,,,,,,,,,,,,15,2C,2,apex,3.0
370,15-3A,25.93,border,infarct,sbrt,,,,,,,,,,,,15,3A,3,apex,3.0
371,15-3B,63.43,center,infarct,sbrt,,,,,,,,,,,,15,3B,3,apex,3.0
372,15-3C,26.75,border,infarct,sbrt,,,,,,,,,,,,15,3C,3,apex,3.0
373,15-3D,4.55,healthy,infarct,sbrt,,,,,,,,,,,,15,3D,3,apex,3.0
374,15-4A,27.68,border,infarct,sbrt,,,,,,,,,,,,15,4A,4,apex,3.0
375,15-4B,66.98,center,infarct,sbrt,,,,,,,,,,,,15,4B,4,apex,3.0
376,15-4C,48.76,center,infarct,sbrt,,,,,,,,,,,,15,4C,4,apex,3.0
377,15-4D,4.7,healthy,infarct,sbrt,,,,,,,,,,,,15,4D,4,apex,3.0
378,15-5A,20.0,border,infarct,sbrt,False,428833.0,466693.0,6232124.5,13.353798964201307,1.08828611604051,895526,14.532754009136424,6.959177622983587,0.47886158525827277,10.75971663580957,15,5A,5,mid,3.0
379,15-5B,74.84,center,infarct,sbrt,False,535121.0,125287.0,1962036.75,15.660337864263651,0.23412835601667661,660408,3.6665291588257607,2.970946369517026,0.8102884883284273,21.964713101597802,15,5B,5,mid,3.0
380,15-5C,71.21,center,infarct,sbrt,,,,,,,,,,,,15,5C,5,mid,3.0
381,15-5D,48.21,border,infarct,sbrt,,,,,,,,,,,,15,5D,5,mid,3.0
382,15-5E,2.67,healthy,infarct,sbrt,,,,,,,,,,,,15,5E,5,mid,3.0
383,15-6A,25.43,border,infarct,sbrt,,,,,,,,,,,,15,6A,6,mid,3.0
384,15-6B,82.18,center,infarct,sbrt,,,,,,,,,,,,15,6B,6,mid,3.0
385,15-8B,,,,,False,364201.0,117717.0,1514124.25,12.862409422598265,0.32321987034631977,481918,4.157386305913493,3.1418711274532183,0.7557323030059055,16.657058358475922,15,8B,8,,
386,16-10A,3.52,healthy,control,sbrt,,,,,,,,,,,,16,10A,10,base,3.0
387,16-10B,4.49,healthy,control,sbrt,,,,,,,,,,,,16,10B,10,base,3.0
388,16-11B,5.0,healthy,control,sbrt,,,,,,,,,,,,16,11B,11,base,3.0
389,16-12A,3.07,healthy,control,sbrt,,,,,,,,,,,,16,12A,12,base,3.0
390,16-12B,3.75,healthy,control,sbrt,,,,,,,,,,,,16,12B,12,base,3.0
391,16-13A,0.63,healthy,control,sbrt,False,779396.0,882029.0,11913199.75,13.506585100943393,1.1316827389414368,1661425,15.28516922078122,7.1704709812359875,0.46911296026001775,9.12561355462931,16,13A,13,base,3.0
392,16-13B,0.57,healthy,control,sbrt,,,,,,,,,,,,16,13B,13,base,3.0
393,16-14A,1.6,healthy,control,sbrt,,,,,,,,,,,,16,14A,14,base,3.0
394,16-14B,4.87,healthy,control,sbrt,,,,,,,,,,,,16,14B,14,base,3.0
395,16-4A,3.2,healthy,control,sbrt,False,546623.0,846897.0,11962197.0,14.124736538209486,1.549325586373058,1393520,21.88381571942637,8.584158820827831,0.39226060623457143,8.785684094953787,16,4A,4,apex,3.0
396,16-4B,8.06,healthy,control,sbrt,,,,,,,,,,,,16,4B,4,apex,3.0
397,16-5A,5.45,healthy,control,sbrt,,,,,,,,,,,,16,5A,5,mid,3.0
398,16-5B,6.25,healthy,control,sbrt,,,,,,,,,,,,16,5B,5,mid,3.0
399,16-6A,1.05,healthy,control,sbrt,,,,,,,,,,,,16,6A,6,mid,3.0
400,16-6B,5.87,healthy,control,sbrt,,,,,,,,,,,,16,6B,6,mid,3.0
401,16-7A,3.65,healthy,control,sbrt,,,,,,,,,,,,16,7A,7,mid,3.0
402,16-7B,5.28,healthy,control,sbrt,,,,,,,,,,,,16,7B,7,mid,3.0
403,16-8A,3.9,healthy,control,sbrt,,,,,,,,,,,,16,8A,8,mid,3.0
404,16-8B,4.71,healthy,control,sbrt,,,,,,,,,,,,16,8B,8,mid,3.0
405,16-9A,4.61,healthy,control,sbrt,,,,,,,,,,,,16,9A,9,mid,3.0
406,16-9B,0.97,healthy,control,sbrt,,,,,,,,,,,,16,9B,9,mid,3.0
407,17-10A,3.34,healthy,control,sbrt,,,,,,,,,,,,17,10A,10,base,3.0
408,17-10B,2.76,healthy,control,sbrt,,,,,,,,,,,,17,10B,10,base,3.0
409,17-11A,1.62,healthy,control,sbrt,,,,,,,,,,,,17,11A,11,base,3.0
410,17-11B,,,,,False,558675.0,1311607.0,17114883.25,13.048789195239122,2.347710207186647,1870282,30.63477558508972,9.150963999011914,0.298711638137992,6.4409998064463005,17,11B,11,,
411,17-12A,0.42,healthy,control,sbrt,,,,,,,,,,,,17,12A,12,base,3.0
412,17-12B,4.72,healthy,control,sbrt,False,416458.0,1054555.0,13697581.0,12.988967858480592,2.532200125823012,1471013,32.89066604555561,9.311665498537403,0.28310966660389814,6.510013337747525,17,12B,12,base,3.0
413,17-13A,0.77,healthy,control,sbrt,,,,,,,,,,,,17,13A,13,base,3.0
414,17-13B,1.24,healthy,control,sbrt,False,502026.0,1311463.0,16769612.25,12.786950337142565,2.612340795098262,1813489,33.40387201061299,9.247154104601682,0.2768288089974629,5.9774984849646176,17,13B,13,base,3.0
415,17-4A,3.56,healthy,control,sbrt,,,,,,,,,,,,17,4A,4,apex,3.0
416,17-4B,2.97,healthy,control,sbrt,,,,,,,,,,,,17,4B,4,apex,3.0
417,17-5A,5.03,healthy,control,sbrt,,,,,,,,,,,,17,5A,5,mid,3.0
418,17-5B,3.69,healthy,control,sbrt,,,,,,,,,,,,17,5B,5,mid,3.0
419,17-6A,5.39,healthy,control,sbrt,,,,,,,,,,,,17,6A,6,mid,3.0
420,17-6B,3.44,healthy,control,sbrt,,,,,,,,,,,,17,6B,6,mid,3.0
421,17-7A,6.02,healthy,control,sbrt,,,,,,,,,,,,17,7A,7,mid,3.0
422,17-7B,4.88,healthy,control,sbrt,,,,,,,,,,,,17,7B,7,mid,3.0
423,17-8A,5.49,healthy,control,sbrt,,,,,,,,,,,,17,8A,8,mid,3.0
424,17-8B,1.91,healthy,control,sbrt,,,,,,,,,,,,17,8B,8,mid,3.0
425,17-9A,4.48,healthy,control,sbrt,,,,,,,,,,,,17,9A,9,mid,3.0
426,17-9B,3.07,healthy,control,sbrt,,,,,,,,,,,,17,9B,9,mid,3.0
427,18-10A,17.31,border,infarct,sbrt,,,,,,,,,,,,18,10A,10,base,3.0
428,18-10B,1.04,healthy,infarct,sbrt,,,,,,,,,,,,18,10B,10,base,3.0
429,18-10C,27.16,border,infarct,sbrt,,,,,,,,,,,,18,10C,10,base,3.0
430,18-11A,13.05,border,infarct,sbrt,,,,,,,,,,,,18,11A,11,base,3.0
431,18-11B,1.04,healthy,infarct,sbrt,,,,,,,,,,,,18,11B,11,base,3.0
432,18-11C,21.53,border,infarct,sbrt,,,,,,,,,,,,18,11C,11,base,3.0
433,18-12A,27.81,border,infarct,sbrt,,,,,,,,,,,,18,12A,12,base,3.0
434,18-12B,1.06,healthy,infarct,sbrt,,,,,,,,,,,,18,12B,12,base,3.0
435,18-13A,7.38,healthy,infarct,sbrt,,,,,,,,,,,,18,13A,13,base,3.0
436,18-13B,2.71,healthy,infarct,sbrt,,,,,,,,,,,,18,13B,13,base,3.0
437,18-1A,58.2,center,infarct,sbrt,,,,,,,,,,,,18,1A,1,apex,3.0
438,18-1B,45.64,center,infarct,sbrt,,,,,,,,,,,,18,1B,1,apex,3.0
439,18-2A,53.35,center,infarct,sbrt,False,475310.0,179104.0,2547049.5,14.221064297838128,0.3768151311775473,654414,5.358712208874208,3.892107289880718,0.726313923601879,16.557888431482212,18,2A,2,apex,3.0
440,18-2B,19.68,border,infarct,sbrt,False,441003.0,303099.0,4199713.5,13.855913414428949,0.6872946442541207,744102,9.523095080985843,5.6440024351500195,0.5926647153212866,13.020239832711107,18,2B,2,apex,3.0
441,18-2C,35.88,border,infarct,sbrt,,,,,,,,,,,,18,2C,2,apex,3.0
442,18-3A,52.27,center,infarct,sbrt,,,,,,,,,,,,18,3A,3,apex,3.0
443,18-3B,26.37,border,infarct,sbrt,,,,,,,,,,,,18,3B,3,apex,3.0
444,18-3C,11.03,healthy,infarct,sbrt,,,,,,,,,,,,18,3C,3,apex,3.0
445,18-3D,14.26,border,infarct,sbrt,,,,,,,,,,,,18,3D,3,apex,3.0
446,18-4A,36.04,border,infarct,sbrt,,,,,,,,,,,,18,4A,4,apex,3.0
447,18-4B,3.22,healthy,infarct,sbrt,,,,,,,,,,,,18,4B,4,apex,3.0
448,18-4C,7.15,healthy,infarct,sbrt,,,,,,,,,,,,18,4C,4,apex,3.0
449,18-4D,16.38,border,infarct,sbrt,,,,,,,,,,,,18,4D,4,apex,3.0
450,18-4E,43.87,center,infarct,sbrt,,,,,,,,,,,,18,4E,4,apex,3.0
451,18-5A,37.26,border,infarct,sbrt,False,588889.0,406774.0,5906496.5,14.520339303888646,0.6907481715569488,995663,10.02989782454758,5.932224557907645,0.5914541365903926,12.305222499982424,18,5A,5,mid,3.0
452,18-5B,14.62,border,infarct,sbrt,,,,,,,,,,,,18,5B,5,mid,3.0
453,18-5C,1.4,healthy,infarct,sbrt,,,,,,,,,,,,18,5C,5,mid,3.0
454,18-5D,24.38,border,infarct,sbrt,,,,,,,,,,,,18,5D,5,mid,3.0
455,18-6A,31.23,border,infarct,sbrt,,,,,,,,,,,,18,6A,6,mid,3.0
456,18-6B,6.27,border,infarct,sbrt,,,,,,,,,,,,18,6B,6,mid,3.0
457,18-6C,1.34,healthy,infarct,sbrt,,,,,,,,,,,,18,6C,6,mid,3.0
458,18-6D,22.47,border,infarct,sbrt,,,,,,,,,,,,18,6D,6,mid,3.0
459,18-7A,24.15,border,infarct,sbrt,,,,,,,,,,,,18,7A,7,mid,3.0
460,18-7B,1.88,healthy,infarct,sbrt,,,,,,,,,,,,18,7B,7,mid,3.0
461,18-7C,12.43,border,infarct,sbrt,,,,,,,,,,,,18,7C,7,mid,3.0
462,18-7D,26.97,border,infarct,sbrt,,,,,,,,,,,,18,7D,7,mid,3.0
463,18-8A,24.72,border,infarct,sbrt,False,788308.0,308080.0,4222258.25,13.705070923136848,0.3908117131882462,1096388,5.356102246837531,3.8510620783883076,0.7190045859677413,13.700366339288646,18,8A,8,mid,3.0
464,18-8B,1.39,healthy,infarct,sbrt,,,,,,,,,,,,18,8B,8,mid,3.0
465,18-8C,16.22,border,infarct,sbrt,False,604345.0,346328.0,5054852.75,14.595564753643945,0.5730633992173345,950673,8.364183951219916,5.317130864135197,0.6357022866958459,11.6945637458937,18,8C,8,mid,3.0
466,18-9A,21.55,border,infarct,sbrt,,,,,,,,,,,,18,9A,9,mid,3.0
467,18-9B,1.35,healthy,infarct,sbrt,,,,,,,,,,,,18,9B,9,mid,3.0
468,18-9C,10.58,border,infarct,sbrt,,,,,,,,,,,,18,9C,9,mid,3.0
469,19-10A,29.64,border,infarct,sbrt,,,,,,,,,,,,19,10A,10,base,3.0
470,19-10B,1.79,healthy,infarct,sbrt,,,,,,,,,,,,19,10B,10,base,3.0
471,19-10C,26.93,border,infarct,sbrt,,,,,,,,,,,,19,10C,10,base,3.0
472,19-11A,31.01,border,infarct,sbrt,,,,,,,,,,,,19,11A,11,base,3.0
473,19-11B,2.86,healthy,infarct,sbrt,,,,,,,,,,,,19,11B,11,base,3.0
474,19-11C,23.14,border,infarct,sbrt,,,,,,,,,,,,19,11C,11,base,3.0
475,19-12A,28.81,border,infarct,sbrt,,,,,,,,,,,,19,12A,12,base,3.0
476,19-12B,3.38,healthy,infarct,sbrt,,,,,,,,,,,,19,12B,12,base,3.0
477,19-13A,27.56,border,infarct,sbrt,,,,,,,,,,,,19,13A,13,base,3.0
478,19-14A,23.04,border,infarct,sbrt,,,,,,,,,,,,19,14A,14,base,3.0
479,19-14B,1.39,healthy,infarct,sbrt,,,,,,,,,,,,19,14B,14,base,3.0
480,19-15A,16.79,healthy,infarct,sbrt,,,,,,,,,,,,19,15A,15,base,3.0
481,19-15B,1.32,healthy,infarct,sbrt,,,,,,,,,,,,19,15B,15,base,3.0
482,19-16A,7.34,healthy,infarct,sbrt,,,,,,,,,,,,19,16A,16,base,3.0
483,19-16B,0.36,healthy,infarct,sbrt,,,,,,,,,,,,19,16B,16,base,3.0
484,19-17A,1.28,healthy,infarct,sbrt,,,,,,,,,,,,19,17A,17,base,3.0
485,19-17B,0.76,healthy,infarct,sbrt,,,,,,,,,,,,19,17B,17,base,3.0
486,19-19A,1.22,healthy,infarct,sbrt,False,344186.0,510897.0,7226397.5,14.14452913209512,1.4843631059950144,855083,20.995617195353674,8.45110650077244,0.40251765033335946,8.965981957307068,19,19A,19,base,3.0
487,19-19B,1.22,healthy,infarct,sbrt,,,,,,,,,,,,19,19B,19,base,3.0
488,19-2B,1.84,healthy,infarct,sbrt,,,,,,,,,,,,19,2B,2,apex,3.0
489,19-3A,66.64,center,infarct,sbrt,False,945913.0,186612.0,2394525.25,12.831571656699461,0.19728241392178772,1132525,2.531443430844063,2.1143244078497165,0.835224829473963,19.475820842807003,19,3A,3,apex,3.0
490,19-3B,9.33,border,infarct,sbrt,,,,,,,,,,,,19,3B,3,apex,3.0
491,19-3C,43.22,border,infarct,sbrt,,,,,,,,,,,,19,3C,3,apex,3.0
492,19-4A,70.06,center,infarct,sbrt,,,,,,,,,,,,19,4A,4,apex,3.0
493,19-4B,37.17,border,infarct,sbrt,,,,,,,,,,,,19,4B,4,apex,3.0
494,19-4C,4.3,healthy,infarct,sbrt,,,,,,,,,,,,19,4C,4,apex,3.0
495,19-4D,16.6,border,infarct,sbrt,,,,,,,,,,,,19,4D,4,apex,3.0
496,19-5A,77.01,center,infarct,sbrt,False,162989.0,8713.0,60005.5,6.886893148169402,0.053457595297842185,171702,0.3681567467743222,0.34947467123271714,0.9492551047745512,18.4963643405435,19,5A,5,mid,3.0
497,19-5B,41.02,border,infarct,sbrt,,,,,,,,,,,,19,5B,5,mid,3.0
498,19-5C,36.25,border,infarct,sbrt,,,,,,,,,,,,19,5C,5,mid,3.0
499,19-5D,4.51,healthy,infarct,sbrt,,,,,,,,,,,,19,5D,5,mid,3.0
500,19-6A,44.94,border,infarct,sbrt,,,,,,,,,,,,19,6A,6,mid,3.0
501,19-6B,0.99,healthy,infarct,sbrt,,,,,,,,,,,,19,6B,6,mid,3.0
502,19-6C,39.52,border,infarct,sbrt,,,,,,,,,,,,19,6C,6,mid,3.0
503,19-7A,32.06,,infarct,sbrt,,,,,,,,,,,,19,7A,7,mid,3.0
504,19-7B,67.07,,infarct,sbrt,,,,,,,,,,,,19,7B,7,mid,3.0
505,19-7C,19.43,,infarct,sbrt,,,,,,,,,,,,19,7C,7,mid,3.0
506,19-7D,2.52,healthy,infarct,sbrt,,,,,,,,,,,,19,7D,7,mid,3.0
507,19-8A,35.21,border,infarct,sbrt,False,539088.0,327072.0,4519463.75,13.81794757729185,0.60671356068026,866160,8.38353617591191,5.217816281056618,0.6223884732612912,13.697193647824882,19,8A,8,mid,3.0
508,19-8B,2.26,healthy,infarct,sbrt,,,,,,,,,,,,19,8B,8,mid,3.0
509,19-8C,34.84,border,infarct,sbrt,,,,,,,,,,,,19,8C,8,mid,3.0
510,19-9A,30.9,border,infarct,sbrt,,,,,,,,,,,,19,9A,9,mid,3.0
511,19-9B,0.63,healthy,infarct,sbrt,,,,,,,,,,,,19,9B,9,mid,3.0
512,19-9C,26.44,border,infarct,sbrt,,,,,,,,,,,,19,9C,9,mid,3.0
513,20-10A,3.25,healthy,control,sbrt,,,,,,,,,,,,20,10A,10,base,3.0
514,20-10B,1.36,healthy,control,sbrt,,,,,,,,,,,,20,10B,10,base,3.0
515,20-11A,5.2,healthy,control,sbrt,,,,,,,,,,,,20,11A,11,base,3.0
516,20-11B,2.63,healthy,control,sbrt,,,,,,,,,,,,20,11B,11,base,3.0
517,20-12A,2.93,healthy,control,sbrt,,,,,,,,,,,,20,12A,12,base,3.0
518,20-12B,1.62,healthy,control,sbrt,,,,,,,,,,,,20,12B,12,base,3.0
519,20-13A,1.99,healthy,control,sbrt,,,,,,,,,,,,20,13A,13,base,3.0
520,20-13B,1.81,healthy,control,sbrt,,,,,,,,,,,,20,13B,13,base,3.0
521,20-14A,2.08,healthy,control,sbrt,,,,,,,,,,,,20,14A,14,base,3.0
522,20-14B,2.19,healthy,control,sbrt,,,,,,,,,,,,20,14B,14,base,3.0
523,20-15A,1.88,healthy,control,sbrt,,,,,,,,,,,,20,15A,15,base,3.0
524,20-15B,3.24,healthy,control,sbrt,,,,,,,,,,,,20,15B,15,base,3.0
525,20-16A,3.2,healthy,control,sbrt,False,143748.0,867479.0,12197512.5,14.0608735197048,6.0347204830675905,1011227,84.85344143918525,12.062091399853841,0.14215205883545434,2.7429318540743077,20,16A,16,base,3.0
526,20-16B,5.25,healthy,control,sbrt,,,,,,,,,,,,20,16B,16,base,3.0
527,20-5A,3.66,healthy,control,sbrt,,,,,,,,,,,,20,5A,5,mid,3.0
528,20-5B,1.59,healthy,control,sbrt,,,,,,,,,,,,20,5B,5,mid,3.0
529,20-6A,4.54,healthy,control,sbrt,,,,,,,,,,,,20,6A,6,mid,3.0
530,20-6B,1.68,healthy,control,sbrt,,,,,,,,,,,,20,6B,6,mid,3.0
531,20-7A,4.0,healthy,control,sbrt,,,,,,,,,,,,20,7A,7,mid,3.0
532,20-7B,1.21,healthy,control,sbrt,,,,,,,,,,,,20,7B,7,mid,3.0
533,20-8A,4.69,healthy,control,sbrt,,,,,,,,,,,,20,8A,8,mid,3.0
534,20-8B,1.59,healthy,control,sbrt,False,387378.0,544666.0,6832770.0,12.544880715888269,1.406032350830455,932044,17.638508123848023,7.330952186806631,0.41562200926136533,7.9444757972799565,20,8B,8,mid,3.0
535,20-9A,3.51,healthy,control,sbrt,,,,,,,,,,,,20,9A,9,mid,3.0
536,20-9B,2.38,healthy,control,sbrt,,,,,,,,,,,,20,9B,9,mid,3.0
537,21-10A,1.84,healthy,control,sbrt,,,,,,,,,,,,21,10A,10,base,3.0
538,21-10B,2.17,healthy,control,sbrt,False,484230.0,573607.0,6882119.75,11.997970300222976,1.184575511637032,1057837,14.212501806992545,6.505841400896357,0.45775483368420655,7.811649857208625,21,10B,10,base,3.0
539,21-11A,1.78,healthy,control,sbrt,False,745814.0,873556.0,11730427.75,13.428363779769128,1.1712786297924147,1619370,15.728355528322075,7.243821825771751,0.4605581182805659,9.53147813655928,21,11A,11,base,3.0
540,21-11B,2.55,healthy,control,sbrt,,,,,,,,,,,,21,11B,11,base,3.0
541,21-12A,2.87,healthy,control,sbrt,,,,,,,,,,,,21,12A,12,base,3.0
542,21-12B,2.34,healthy,control,sbrt,False,678667.0,1142056.0,15144531.75,13.260761074763408,1.6827928866439652,1820723,22.31511440809705,8.31786699569347,0.37274588171841627,7.097609987900411,21,12B,12,base,3.0
543,21-13A,1.53,healthy,control,sbrt,,,,,,,,,,,,21,13A,13,base,3.0
544,21-13B,1.84,healthy,control,sbrt,,,,,,,,,,,,21,13B,13,base,3.0
545,21-14A,3.58,healthy,control,sbrt,,,,,,,,,,,,21,14A,14,base,3.0
546,21-14B,6.57,healthy,control,sbrt,,,,,,,,,,,,21,14B,14,base,3.0
547,21-15A,1.83,healthy,control,sbrt,,,,,,,,,,,,21,15A,15,base,3.0
548,21-15B,3.62,healthy,control,sbrt,,,,,,,,,,,,21,15B,15,base,3.0
549,21-16A,3.97,healthy,control,sbrt,,,,,,,,,,,,21,16A,16,base,3.0
550,21-16B,2.98,healthy,control,sbrt,,,,,,,,,,,,21,16B,16,base,3.0
551,21-17A,1.45,healthy,control,sbrt,,,,,,,,,,,,21,17A,17,base,3.0
552,21-17B,3.06,healthy,control,sbrt,False,621187.0,641042.0,8599806.25,13.415355390130443,1.0319629998696045,1262229,13.84415039271588,6.81319019765827,0.49213494540214175,10.574289609888538,21,17B,17,base,3.0
553,21-6A,4.77,healthy,control,sbrt,,,,,,,,,,,,21,6A,6,mid,3.0
554,21-6B,2.58,healthy,control,sbrt,,,,,,,,,,,,21,6B,6,mid,3.0
555,21-7A,2.86,healthy,control,sbrt,,,,,,,,,,,,21,7A,7,mid,3.0
556,21-7B,1.8,healthy,control,sbrt,,,,,,,,,,,,21,7B,7,mid,3.0
557,21-8A,4.5,healthy,control,sbrt,False,561075.0,1030646.0,13462937.25,13.062620191607982,1.8369130686628348,1591721,23.994897740943724,8.458101168483672,0.352495820561518,6.6270857141421144,21,8A,8,mid,3.0
558,21-8B,3.7,healthy,control,sbrt,,,,,,,,,,,,21,8B,8,mid,3.0
559,21-9A,2.93,healthy,control,sbrt,,,,,,,,,,,,21,9A,9,mid,3.0
560,21-9B,2.7,healthy,control,sbrt,,,,,,,,,,,,21,9B,9,mid,3.0
