,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
174,10-6B,80.67,center,radiation,sbrt,,,,,,,,,,,,10,6B,6,mid,3.0
175,10-6C,56.69,border,radiation,sbrt,,,,,,,,,,,,10,6C,6,mid,3.0
176,10-7C,25.96,border,radiation,sbrt,,,,,,,,,,,,10,7C,7,mid,3.0
177,10-8A,44.57,border,radiation,sbrt,False,462464.0,164391.0,1970949.0,11.989397229775353,0.35546766883476333,626855,4.261843084002214,3.144186454602739,0.7377527498384794,15.402376546410254,10,8A,8,mid,3.0
178,10-8B,73.56,center,radiation,sbrt,False,408160.0,151710.0,1775767.0,11.705009557708786,0.3716924735397883,559870,4.350663955311642,3.1717487988282995,0.7290263811241895,15.258461785771697,10,8B,8,mid,3.0
179,10-8C,33.85,border,radiation,sbrt,False,678659.0,292590.0,3688018.0,12.604730168495164,0.4311296247452697,971249,5.4342725875587,3.797191039578934,0.6987487245804114,14.481985052236862,10,8C,8,mid,3.0
180,10-8D,5.63,healthy,radiation,sbrt,,,,,,,,,,,,10,8D,8,mid,3.0
181,10-9A,36.87,border,radiation,sbrt,,,,,,,,,,,,10,9A,9,mid,3.0
182,10-9B,63.84,center,radiation,sbrt,,,,,,,,,,,,10,9B,9,mid,3.0
183,10-9C,49.38,border,radiation,sbrt,,,,,,,,,,,,10,9C,9,mid,3.0
184,10-9D,3.95,healthy,radiation,sbrt,,,,,,,,,,,,10,9D,9,mid,3.0
185,11-10A,22.9,border,infarct,sbrt,,,,,,,,,,,,11,10A,10,base,3.0
186,11-10B,21.23,border,infarct,sbrt,,,,,,,,,,,,11,10B,10,base,3.0
187,11-10C,17.1,border,infarct,sbrt,,,,,,,,,,,,11,10C,10,base,3.0
188,11-10D,2.07,healthy,infarct,sbrt,,,,,,,,,,,,11,10D,10,base,3.0
189,11-11A,46.16,border,infarct,sbrt,,,,,,,,,,,,11,11A,11,base,3.0
190,11-11B,39.69,border,infarct,sbrt,,,,,,,,,,,,11,11B,11,base,3.0
191,11-11C,9.54,healthy,infarct,sbrt,,,,,,,,,,,,11,11C,11,base,3.0
192,11-11D,3.82,healthy,infarct,sbrt,,,,,,,,,,,,11,11D,11,base,3.0
