,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section
61,04-3D,49.68,healthy,infarct,sbrt,,,,,,,,,,,,4,3D,3
62,04-4A,78.38,center,infarct,sbrt,,,,,,,,,,,,4,4A,4
63,04-4B,85.16,border,infarct,sbrt,FALSE,741874,1103712,15363609.25,13.91994401619263,1.4877351140490165,971973,20.709189498486264,15.806621428784544,0.7632660578020172,18.285606698951515,4,4B,4
64,04-4C,41.33,healthy,infarct,sbrt,,,,,,,,,,,,4,4C,4
65,04-4D,1.68,healthy,infarct,sbrt,,,,,,,,,,,,4,4D,4
66,04-5A,83.17,center,infarct,sbrt,,,,,,,,,,,,4,5A,5
67,04-5B,79.04,border,infarct,sbrt,FALSE,407515,338150,4458834.25,13.185965547833801,0.8297854066721471,745665,10.94152178447419,5.979674853989392,0.5465121736973038,12.440828991571282,4,5B,5
68,04-5C,40.02,healthy,infarct,sbrt,,,,,,,,,,,,4,5C,5
69,04-5D,48.89,healthy,infarct,sbrt,,,,,,,,,,,,4,5D,5
70,04-5E,76,border,infarct,sbrt,,,,,,,,,,,,4,5E,5
71,04-6A,83.2,center,infarct,sbrt,,,,,,,,,,,,4,6A,6
72,04-6B,84.28,border,infarct,sbrt,,,,,,,,,,,,4,6B,6
73,04-6C,53.98,healthy,infarct,sbrt,,,,,,,,,,,,4,6C,6
74,04-6D,8.49,healthy,infarct,sbrt,,,,,,,,,,,,4,6D,6
75,04-6E,8.58,healthy,infarct,sbrt,,,,,,,,,,,,4,6E,6
76,04-7A,54.85,border,infarct,sbrt,,,,,,,,,,,,4,7A,7
77,04-7B,5.99,healthy,infarct,sbrt,,,,,,,,,,,,4,7B,7
78,04-7C,2.27,healthy,infarct,sbrt,,,,,,,,,,,,4,7C,7
79,04-7D,32.2,healthy,infarct,sbrt,,,,,,,,,,,,4,7D,7
80,04-7E,49.12,border,infarct,sbrt,,,,,,,,,,,,4,7E,7
81,04-8A,40.95,border,infarct,sbrt,,,,,,,,,,,,4,8A,8
82,04-8B,64.69,border,infarct,sbrt,,,,,,,,,,,,4,8B,8
83,04-8C,1.16,healthy,infarct,sbrt,,,,,,,,,,,,4,8C,8
84,04-8D,2.28,healthy,infarct,sbrt,,,,,,,,,,,,4,8D,8
85,04-9A,48.31,border,infarct,sbrt,,,,,,,,,,,,4,9A,9
86,04-9C,35.59,border,infarct,sbrt,,,,,,,,,,,,4,9C,9
87,1-Aug,6.95,border,radiation,sbrt,,,,,,,,,,,,8,01,01
88,08-10A,12.66,border,radiation,sbrt,,,,,,,,,,,,8,10A,10
89,08-10B,2.76,healthy,radiation,sbrt,,,,,,,,,,,,8,10B,10
90,08-11A,2.03,healthy,radiation,sbrt,,,,,,,,,,,,8,11A,11
91,08-11B,1.24,healthy,radiation,sbrt,,,,,,,,,,,,8,11B,11
92,08-13A,3.96,healthy,radiation,sbrt,,,,,,,,,,,,8,13A,13
