,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section
264,12-6B,37.49,border,infarct,sbrt,,,,,,,,,,,,12,6B,6
265,12-6C,16.91,healthy,infarct,sbrt,,,,,,,,,,,,12,6C,6
266,12-6D,33.22,border,infarct,sbrt,,,,,,,,,,,,12,6D,6
267,12-7A,39.49,border,infarct,sbrt,,,,,,,,,,,,12,7A,7
268,12-7B,43.34,center,infarct,sbrt,,,,,,,,,,,,12,7B,7
269,12-7C,32.89,border,infarct,sbrt,,,,,,,,,,,,12,7C,7
270,12-7D,4.18,healthy,infarct,sbrt,,,,,,,,,,,,12,7D,7
271,12-8A,28.92,border,infarct,sbrt,FALSE,759899,868318,10948207,12.608522453755421,1.1426755397756807,1628217,14.407450200618767,6.724046610494793,0.46670621913418175,7.983791011886008,12,8A,8
272,12-8B,38.01,border,infarct,sbrt,FALSE,500150,273471,3432657.75,12.552181949822833,0.546777967,773621,6.863256523043087,4.437131037032345,0.6465052008670913,13.45698022675186,12,8B,8
273,12-8C,25,border,infarct,sbrt,FALSE,537219,477595,5879800.25,12.311268438739937,0.8890136052522342,1014814,10.944885139952236,5.7939684020914175,0.5293768119083891,9.453904360799122,12,8C,8
274,12-8D,4.06,border,infarct,sbrt,,,,,,,,,,,,12,8D,8
275,12-9A,32.97,border,infarct,sbrt,,,,,,,,,,,,12,9A,9
276,12-9B,36.99,border,infarct,sbrt,,,,,,,,,,,,12,9B,9
277,12-9C,3.05,healthy,infarct,sbrt,,,,,,,,,,,,12,9C,9
278,13-1,2.88,healthy,infarct,sbrt,,,,,,,,,,,,13,1,1
279,13-11A,9.07,border,infarct,sbrt,,,,,,,,,,,,13,11A,11
280,13-11B,0.73,healthy,infarct,sbrt,,,,,,,,,,,,13,11B,11
281,13-12A,0.71,healthy,infarct,sbrt,,,,,,,,,,,,13,12A,12
282,13-12B,1.63,healthy,infarct,sbrt,,,,,,,,,,,,13,12B,12
283,13-14A,1.34,healthy,infarct,sbrt,FALSE,372092,1039002,13394303,12.891508389781732,2.792325553895273,1411094,35.99728830504284,9.492140849581956,0.26369044160063043,3.984376838,13,14A,14
284,13-14B,3.95,healthy,infarct,sbrt,,,,,,,,,,,,13,14B,14
285,13-2A,6.04,border,infarct,sbrt,FALSE,695585,1259137,17639156,14.008925160645743,1.810184233415039,1954722,25.35873545289217,9.023869378868197,0.3558485554467592,5.660918023125539,13,2A,2
286,13-2B,0.97,healthy,infarct,sbrt,,,,,,,,,,,,13,2B,2
287,13-3A,23.99,border,infarct,sbrt,,,,,,,,,,,,13,3A,3
288,13-3C,1.05,healthy,infarct,sbrt,,,,,,,,,,,,13,3C,3
289,13-4A,32.59,border,infarct,sbrt,,,,,,,,,,,,13,4A,4
290,13-4B,21.1,border,infarct,sbrt,,,,,,,,,,,,13,4B,4
291,13-4C,1.25,healthy,infarct,sbrt,,,,,,,,,,,,13,4C,4
292,13-5A,23.74,border,infarct,sbrt,FALSE,647957,356514,4410449,12.371040127456425,0.5502124369364016,1004471,6.806700135965812,4.390817654267769,0.6450728791572877,12.772384419261481,13,5A,5
293,13-5B,20.46,border,infarct,sbrt,FALSE,574895,583185,7634932,13.09178391076588,1.0144200245262178,1158080,13.280567755851068,6.592750069079856,0.4964207999447361,10.254010301533572,13,5B,5
294,13-5C,0.81,healthy,infarct,sbrt,,,,,,,,,,,,13,5C,5
295,13-6A,20.13,border,infarct,sbrt,,,,,,,,,,,,13,6A,6
296,13-6B,33.77,border,infarct,sbrt,,,,,,,,,,,,13,6B,6
297,13-6C,0.51,healthy,infarct,sbrt,,,,,,,,,,,,13,6C,6
298,13-7A,29.99,border,infarct,sbrt,,,,,,,,,,,,13,7A,7
299,13-7B,31.02,border,infarct,sbrt,,,,,,,,,,,,13,7B,7
300,13-7C,0.58,healthy,infarct,sbrt,,,,,,,,,,,,13,7C,7
301,13-8A,4.78,border,infarct,sbrt,FALSE,442623,346426,4378594.75,12.639336395074272,0.7826660611852525,789049,9.892379632,5.549205119,0.5609575577689092,10.835354014769678,13,8A,8
302,13-8B,36.64,border,infarct,sbrt,FALSE,431222,264490,3222421.5,12.183528677832811,0.6133499682298214,695712,7.472766927475871,4.631832568649096,0.6198283197645003,12.325066622395473,13,8B,8
303,13-8C,0.86,healthy,infarct,sbrt,,,,,,,,,,,,13,8C,8
304,13-9A,7.79,border,infarct,sbrt,,,,,,,,,,,,13,9A,9
305,13-9B,38.59,border,infarct,sbrt,,,,,,,,,,,,13,9B,9
306,13-9C,1.04,healthy,infarct,sbrt,,,,,,,,,,,,13,9C,9
307,14-10A,15.49,,infarct,sbrt,,,,,,,,,,,,14,10A,10
308,14-10B,35.66,,infarct,sbrt,,,,,,,,,,,,14,10B,10
309,14-10C,20.46,,infarct,sbrt,,,,,,,,,,,,14,10C,10
310,14-10D,0.95,,infarct,sbrt,,,,,,,,,,,,14,10D,10
311,14-11A,21.8,border,infarct,sbrt,,,,,,,,,,,,14,11A,11
312,14-11B,26.35,border,infarct,sbrt,,,,,,,,,,,,14,11B,11
313,14-11C,11.68,border,infarct,sbrt,,,,,,,,,,,,14,11C,11
314,14-11D,1.68,healthy,infarct,sbrt,,,,,,,,,,,,14,11D,11
315,14-12A,31.19,border,infarct,sbrt,,,,,,,,,,,,14,12A,12
316,14-12B,11.53,border,infarct,sbrt,,,,,,,,,,,,14,12B,12
317,14-12C,3.7,healthy,infarct,sbrt,,,,,,,,,,,,14,12C,12
318,14-12D,1.29,healthy,infarct,sbrt,,,,,,,,,,,,14,12D,12
319,14-13A,18.87,border,infarct,sbrt,,,,,,,,,,,,14,13A,13
320,14-13B,7.8,border,infarct,sbrt,,,,,,,,,,,,14,13B,13
321,14-13C,1.51,healthy,infarct,sbrt,,,,,,,,,,,,14,13C,13
322,14-14A,5.84,healthy,infarct,sbrt,,,,,,,,,,,,14,14A,14
323,14-14B,2.67,healthy,infarct,sbrt,,,,,,,,,,,,14,14B,14
324,14-14C,1.18,healthy,infarct,sbrt,,,,,,,,,,,,14,14C,14
325,14-15A,1.15,healthy,infarct,sbrt,,,,,,,,,,,,14,15A,15
326,14-15B,1.54,healthy,infarct,sbrt,,,,,,,,,,,,14,15B,15
327,14-15C,2.08,healthy,infarct,sbrt,,,,,,,,,,,,14,15C,15
328,14-16A,0.9,healthy,infarct,sbrt,,,,,,,,,,,,14,16A,16
329,14-16B,1.56,healthy,infarct,sbrt,,,,,,,,,,,,14,16B,16
330,14-19A,1.92,healthy,infarct,sbrt,,,,,,,,,,,,14,19A,19
331,14-19B,1.1,healthy,infarct,sbrt,,,,,,,,,,,,14,19B,19
332,14-1A,43.3,center,infarct,sbrt,,,,,,,,,,,,14,1A,1
333,14-1B,3.24,healthy,infarct,sbrt,,,,,,,,,,,,14,1B,1
334,14-22A,3.01,healthy,infarct,sbrt,,,,,,,,,,,,14,22A,22
335,14-22B,0.85,healthy,infarct,sbrt,,,,,,,,,,,,14,22B,22
336,14-2A,45.85,center,infarct,sbrt,FALSE,499012,178186,2487564.75,13.960494932261794,0.35707758530856976,677198,4.9849798201245665,3.6733196937970876,0.736877545,17.598215736018123,14,2A,2
337,14-2B,10.94,border,infarct,sbrt,FALSE,411228,383365,5066364.75,13.215511979445177,0.9322443997004095,794593,12.32008703201144,6.376050065882786,0.5175328753210763,11.610258333511622,14,2B,2
338,14-2C,1.94,healthy,infarct,sbrt,,,,,,,,,,,,14,2C,2
339,14-2D,3.41,healthy,infarct,sbrt,,,,,,,,,,,,14,2D,2
340,14-3A,37.8,border,infarct,sbrt,,,,,,,,,,,,14,3A,3
341,14-3B,63.42,center,infarct,sbrt,,,,,,,,,,,,14,3B,3
342,14-3C,15.91,border,infarct,sbrt,,,,,,,,,,,,14,3C,3
343,14-3D,3.61,healthy,infarct,sbrt,,,,,,,,,,,,14,3D,3
344,14-3E,2.45,healthy,infarct,sbrt,,,,,,,,,,,,14,3E,3
345,14-4A,23.04,border,infarct,sbrt,,,,,,,,,,,,14,4A,4
346,14-4B,58.72,center,infarct,sbrt,,,,,,,,,,,,14,4B,4
347,14-4C,25.5,border,infarct,sbrt,,,,,,,,,,,,14,4C,4
348,14-4D,3.97,healthy,infarct,sbrt,,,,,,,,,,,,14,4D,4
349,14-4E,1.91,healthy,infarct,sbrt,,,,,,,,,,,,14,4E,4
350,14-5A,16.41,border,infarct,sbrt,FALSE,475280,355898,4542901.75,12.764617249886204,0.7488175391348257,711035,9.558369277057734,6.389139423516423,0.6684340433312003,12.37291026461426,14,5A,5
351,14-5B,34.03,border,infarct,sbrt,FALSE,319071,149891,1993653.75,13.300690168188884,0.4697731852785117,468962,6.248307586712675,4.251205321539912,0.6803770881222786,13.771458561674507,14,5B,5
352,14-5C,25.08,border,infarct,sbrt,,,,,,,,,,,,14,5C,5
353,14-5D,1.07,healthy,infarct,sbrt,,,,,,,,,,,,14,5D,5
354,14-6A,17.15,border,infarct,sbrt,,,,,,,,,,,,14,6A,6
355,14-6B,39.54,border,infarct,sbrt,,,,,,,,,,,,14,6B,6
356,14-6C,31.92,border,infarct,sbrt,,,,,,,,,,,,14,6C,6
357,14-6D,0.93,healthy,infarct,sbrt,,,,,,,,,,,,14,6D,6
358,14-7A,29.58,border,infarct,sbrt,,,,,,,,,,,,14,7A,7
359,14-7B,25.63,border,infarct,sbrt,,,,,,,,,,,,14,7B,7
360,14-7C,21.58,border,infarct,sbrt,,,,,,,,,,,,14,7C,7
361,14-7D,0.73,healthy,infarct,sbrt,,,,,,,,,,,,14,7D,7
362,14-8A,23.31,border,infarct,sbrt,FALSE,393197,182276,2333774,12.803517742324827,0.4635742388675397,575473,5.935380992225271,4.055401382862446,0.683258815,12.072887433467773,14,8A,8
363,14-8B,24.28,border,infarct,sbrt,FALSE,372135,193303,2438240,12.613565231786367,0.5194432128125546,565438,6.552030849019845,4.312126174753024,0.6581358168357981,12.390866461044359,14,8B,8
364,14-8C,18.99,border,infarct,sbrt,,,,,,,,,,,,14,8C,8
365,14-8D,0.92,healthy,infarct,sbrt,,,,,,,,,,,,14,8D,8
366,14-9A,32.22,,infarct,sbrt,,,,,,,,,,,,14,9A,9
367,14-9B,29.39,,infarct,sbrt,,,,,,,,,,,,14,9B,9
368,14-9C,19.72,,infarct,sbrt,,,,,,,,,,,,14,9C,9
369,14-9D,1.84,healthy,infarct,sbrt,,,,,,,,,,,,14,9D,9
370,15-1A,37.65,border,infarct,sbrt,,,,,,,,,,,,15,1A,1
371,15-1B,15.17,border,infarct,sbrt,,,,,,,,,,,,15,1B,1
372,15-2A,45.94,center,infarct,sbrt,FALSE,657563,303379,3893068,12.832358205413032,0.461368721,960942,5.920448687045956,4.051303824788593,0.6842899987720382,17.09030721937432,15,2A,2
373,15-2B,42.5,border,infarct,sbrt,,,,,,,,,,,,15,2B,2
374,15-2C,8.39,healthy,infarct,sbrt,,,,,,,,,,,,15,2C,2
375,15-3A,25.93,border,infarct,sbrt,,,,,,,,,,,,15,3A,3
376,15-3B,63.43,center,infarct,sbrt,,,,,,,,,,,,15,3B,3
377,15-3C,26.75,border,infarct,sbrt,,,,,,,,,,,,15,3C,3
378,15-3D,4.55,healthy,infarct,sbrt,,,,,,,,,,,,15,3D,3
379,15-4A,27.68,border,infarct,sbrt,,,,,,,,,,,,15,4A,4
380,15-4B,66.98,center,infarct,sbrt,,,,,,,,,,,,15,4B,4
381,15-4C,48.76,center,infarct,sbrt,,,,,,,,,,,,15,4C,4
382,15-4D,4.7,healthy,infarct,sbrt,,,,,,,,,,,,15,4D,4
383,15-5A,20,border,infarct,sbrt,FALSE,428833,466693,6232124.5,13.353798964201307,1.088286116,895526,14.532754009136424,6.959177622983587,0.47886158525827277,10.75971663580957,15,5A,5
384,15-5B,74.84,center,infarct,sbrt,FALSE,535121,125287,1962036.75,15.660337864263651,0.23412835601667661,660408,3.6665291588257607,2.970946369517026,0.8102884883284273,21.964713101597802,15,5B,5
385,15-5C,71.21,center,infarct,sbrt,,,,,,,,,,,,15,5C,5
386,15-5D,48.21,border,infarct,sbrt,,,,,,,,,,,,15,5D,5
387,15-5E,2.67,healthy,infarct,sbrt,,,,,,,,,,,,15,5E,5
388,15-6A,25.43,border,infarct,sbrt,,,,,,,,,,,,15,6A,6
389,15-6B,82.18,center,infarct,sbrt,,,,,,,,,,,,15,6B,6
390,15-8B,,border,infarct,sbrt,FALSE,298683,104176,1358487,13.04030678851175,0.3487844972763766,402859,4.548256847560792,3.372115305851427,0.7414082842880512,16.53584628865186,15,8B,8
391,16-10A,3.52,healthy,control,sbrt,,,,,,,,,,,,16,10A,10
392,16-10B,4.49,healthy,control,sbrt,FALSE,632845,898158,11616009.25,12.933146784864133,1.419238518120551,1531003,18.35522007758614,7.587189085,0.4133532070152704,7.628614052356527,16,10B,10
393,16-11B,5,healthy,control,sbrt,,,,,,,,,,,,16,11B,11
394,16-12A,3.07,healthy,control,sbrt,,,,,,,,,,,,16,12A,12
395,16-12B,3.75,healthy,control,sbrt,,,,,,,,,,,,16,12B,12
396,16-13A,0.63,healthy,control,sbrt,FALSE,779396,882029,11913199.75,13.506585100943393,1.1316827389414368,1661425,15.28516922078122,7.1704709812359875,0.46911296026001775,9.125613555,16,13A,13
397,16-13B,0.57,healthy,control,sbrt,,,,,,,,,,,,16,13B,13
398,16-14A,1.6,healthy,control,sbrt,,,,,,,,,,,,16,14A,14
399,16-14B,4.87,healthy,control,sbrt,,,,,,,,,,,,16,14B,14
400,16-4A,3.2,healthy,control,sbrt,FALSE,414387,686428,9731658.5,14.177245829132843,1.6564901891227282,1100815,23.484468624739677,8.840412331,0.3764365492839396,8.509536343527296,16,4A,4
401,16-4B,8.06,healthy,control,sbrt,,,,,,,,,,,,16,4B,4
402,16-5A,5.45,healthy,control,sbrt,,,,,,,,,,,,16,5A,5
403,16-5B,6.25,healthy,control,sbrt,,,,,,,,,,,,16,5B,5
404,16-6A,1.05,healthy,control,sbrt,,,,,,,,,,,,16,6A,6
405,16-6B,5.87,healthy,control,sbrt,,,,,,,,,,,,16,6B,6
406,16-7A,3.65,healthy,control,sbrt,,,,,,,,,,,,16,7A,7
407,16-7B,5.28,healthy,control,sbrt,,,,,,,,,,,,16,7B,7
408,16-8A,3.9,healthy,control,sbrt,,,,,,,,,,,,16,8A,8
409,16-8B,4.71,healthy,control,sbrt,FALSE,421149,615002,8145528.25,13.244718309859154,1.4602955248617473,1036151,19.341202875941768,7.861333193714044,0.40645523673673045,8.580513120191942,16,8B,8
410,16-9A,4.61,healthy,control,sbrt,FALSE,688167,1026539,13612026.5,13.260116274199031,1.4917004157421092,1714706,19.780120959011402,7.93840256,0.40133235668388634,7.710665705957756,16,9A,9
411,16-9B,0.97,healthy,control,sbrt,,,,,,,,,,,,16,9B,9
412,17-10A,3.34,healthy,control,sbrt,,,,,,,,,,,,17,10A,10
413,17-10B,2.76,healthy,control,sbrt,,,,,,,,,,,,17,10B,10
414,17-11A,1.62,healthy,control,sbrt,,,,,,,,,,,,17,11A,11
415,17-11B,,healthy,control,sbrt,FALSE,331338,790533,10147142,12.835823425461049,2.385880882965431,1121871,30.624745727927372,9.044838488560627,0.29534411710437297,6.233426793276589,17,11B,11
416,17-12A,0.42,healthy,control,sbrt,,,,,,,,,,,,17,12A,12
417,17-12B,4.72,healthy,control,sbrt,FALSE,319511,784559,10288731,13.11403093967439,2.455499184691607,1104070,32.20149228039097,9.318911844357695,0.2893937884373273,6.6841579338266595,17,12B,12
418,17-13A,0.77,healthy,control,sbrt,,,,,,,,,,,,17,13A,13
419,17-13B,1.24,healthy,control,sbrt,FALSE,502026,1311463,16769612.25,12.786950337142565,2.612340795098262,1813489,33.40387201061299,9.247154104601682,0.2768288089974629,5.9774984849646176,17,13B,13
420,17-4A,3.56,healthy,control,sbrt,,,,,,,,,,,,17,4A,4
421,17-4B,2.97,healthy,control,sbrt,,,,,,,,,,,,17,4B,4
422,17-5A,5.03,healthy,control,sbrt,,,,,,,,,,,,17,5A,5
423,17-5B,3.69,healthy,control,sbrt,,,,,,,,,,,,17,5B,5
424,17-6A,5.39,healthy,control,sbrt,,,,,,,,,,,,17,6A,6
425,17-6B,3.44,healthy,control,sbrt,,,,,,,,,,,,17,6B,6
426,17-7A,6.02,healthy,control,sbrt,,,,,,,,,,,,17,7A,7
427,17-7B,4.88,healthy,control,sbrt,,,,,,,,,,,,17,7B,7
428,17-8A,5.49,healthy,control,sbrt,,,,,,,,,,,,17,8A,8
429,17-8B,1.91,healthy,control,sbrt,,,,,,,,,,,,17,8B,8
430,17-9A,4.48,healthy,control,sbrt,,,,,,,,,,,,17,9A,9
431,17-9B,3.07,healthy,control,sbrt,,,,,,,,,,,,17,9B,9
432,18-10A,17.31,border,infarct,sbrt,,,,,,,,,,,,18,10A,10
433,18-10B,1.04,healthy,infarct,sbrt,,,,,,,,,,,,18,10B,10
434,18-10C,27.16,border,infarct,sbrt,,,,,,,,,,,,18,10C,10
435,18-11A,13.05,border,infarct,sbrt,,,,,,,,,,,,18,11A,11
436,18-11B,1.04,healthy,infarct,sbrt,,,,,,,,,,,,18,11B,11
437,18-11C,21.53,border,infarct,sbrt,,,,,,,,,,,,18,11C,11
438,18-12A,27.81,border,infarct,sbrt,,,,,,,,,,,,18,12A,12
439,18-12B,1.06,healthy,infarct,sbrt,,,,,,,,,,,,18,12B,12
440,18-13A,7.38,healthy,infarct,sbrt,,,,,,,,,,,,18,13A,13
441,18-13B,2.71,healthy,infarct,sbrt,,,,,,,,,,,,18,13B,13
442,18-17B,,healthy,infarct,sbrt,FALSE,359581,61662,785779.75,12.743338685089682,0.17148292039901997,421243,2.1852649333529857,1.865383519726144,0.8536189325401253,19.513218023800988,18,17B,17
443,18-1A,58.2,center,infarct,sbrt,,,,,,,,,,,,18,1A,1
444,18-1B,45.64,center,infarct,sbrt,,,,,,,,,,,,18,1B,1
445,18-2A,53.35,center,infarct,sbrt,FALSE,475310,179104,2547049.5,14.221064297838128,0.3768151311775473,654414,5.358712208874208,3.892107289880718,0.726313924,16.557888431482212,18,2A,2
446,18-2B,19.68,border,infarct,sbrt,FALSE,274512,192210,2684355,13.965740596222881,0.70018797,466722,9.778643556565834,5.751507321274763,0.5881702598120508,13.040990675391347,18,2B,2
447,18-2C,35.88,border,infarct,sbrt,,,,,,,,,,,,18,2C,2
448,18-3A,52.27,center,infarct,sbrt,,,,,,,,,,,,18,3A,3
449,18-3B,26.37,border,infarct,sbrt,,,,,,,,,,,,18,3B,3
450,18-3C,11.03,healthy,infarct,sbrt,,,,,,,,,,,,18,3C,3
451,18-3D,14.26,border,infarct,sbrt,,,,,,,,,,,,18,3D,3
452,18-4A,36.04,border,infarct,sbrt,,,,,,,,,,,,18,4A,4
453,18-4B,3.22,healthy,infarct,sbrt,,,,,,,,,,,,18,4B,4
454,18-4C,7.15,healthy,infarct,sbrt,,,,,,,,,,,,18,4C,4
455,18-4D,16.38,border,infarct,sbrt,,,,,,,,,,,,18,4D,4
456,18-4E,43.87,center,infarct,sbrt,,,,,,,,,,,,18,4E,4
457,18-5A,37.26,border,infarct,sbrt,FALSE,588889,406774,5906496.5,14.520339303888646,0.6907481715569488,995663,10.02989782454758,5.932224557907645,0.5914541365903926,12.305222499982424,18,5A,5
458,18-5B,14.62,border,infarct,sbrt,,,,,,,,,,,,18,5B,5
459,18-5C,1.4,healthy,infarct,sbrt,,,,,,,,,,,,18,5C,5
460,18-5D,24.38,border,infarct,sbrt,,,,,,,,,,,,18,5D,5
461,18-6A,31.23,border,infarct,sbrt,,,,,,,,,,,,18,6A,6
462,18-6B,6.27,border,infarct,sbrt,,,,,,,,,,,,18,6B,6
463,18-6C,1.34,healthy,infarct,sbrt,,,,,,,,,,,,18,6C,6
464,18-6D,22.47,border,infarct,sbrt,,,,,,,,,,,,18,6D,6
465,18-7A,24.15,border,infarct,sbrt,,,,,,,,,,,,18,7A,7
466,18-7B,1.88,healthy,infarct,sbrt,,,,,,,,,,,,18,7B,7
467,18-7C,12.43,border,infarct,sbrt,,,,,,,,,,,,18,7C,7
468,18-7D,26.97,border,infarct,sbrt,,,,,,,,,,,,18,7D,7
469,18-8A,24.72,border,infarct,sbrt,FALSE,770180,293267,4019013.5,13.704281422730823,0.3807772209093978,1063447,5.218278194707731,3.779232533450186,0.7242297923638884,13.709824749141236,18,8A,8
470,18-8B,1.39,healthy,infarct,sbrt,,,,,,,,,,,,18,8B,8
471,18-8C,16.22,border,infarct,sbrt,FALSE,548212,297644,4329178.5,14.544820322264181,0.5429359444886285,845856,7.896905759085901,5.1181034360458515,0.6481150455869557,11.89377920118791,18,8C,8
472,18-9A,21.55,border,infarct,sbrt,,,,,,,,,,,,18,9A,9
473,18-9B,1.35,healthy,infarct,sbrt,,,,,,,,,,,,18,9B,9
474,18-9C,10.58,border,infarct,sbrt,,,,,,,,,,,,18,9C,9
475,19-10A,29.64,border,infarct,sbrt,,,,,,,,,,,,19,10A,10
476,19-10B,1.79,healthy,infarct,sbrt,,,,,,,,,,,,19,10B,10
477,19-10C,26.93,border,infarct,sbrt,,,,,,,,,,,,19,10C,10
478,19-11A,31.01,border,infarct,sbrt,,,,,,,,,,,,19,11A,11
479,19-11B,2.86,healthy,infarct,sbrt,,,,,,,,,,,,19,11B,11
480,19-11C,23.14,border,infarct,sbrt,,,,,,,,,,,,19,11C,11
481,19-12A,28.81,border,infarct,sbrt,,,,,,,,,,,,19,12A,12
482,19-12B,3.38,healthy,infarct,sbrt,,,,,,,,,,,,19,12B,12
483,19-13A,27.56,border,infarct,sbrt,,,,,,,,,,,,19,13A,13
484,19-14A,23.04,border,infarct,sbrt,,,,,,,,,,,,19,14A,14
485,19-14B,1.39,healthy,infarct,sbrt,,,,,,,,,,,,19,14B,14
486,19-15A,16.79,healthy,infarct,sbrt,,,,,,,,,,,,19,15A,15
487,19-15B,1.32,healthy,infarct,sbrt,,,,,,,,,,,,19,15B,15
488,19-16A,7.34,healthy,infarct,sbrt,,,,,,,,,,,,19,16A,16
489,19-16B,0.36,healthy,infarct,sbrt,,,,,,,,,,,,19,16B,16
490,19-17A,1.28,healthy,infarct,sbrt,,,,,,,,,,,,19,17A,17
491,19-17B,0.76,healthy,infarct,sbrt,,,,,,,,,,,,19,17B,17
492,19-19A,1.22,healthy,infarct,sbrt,FALSE,344186,510897,7226397.5,14.14452913209512,1.4843631059950144,855083,20.995617195353674,8.451106501,0.40251765033335946,8.965981957307068,19,19A,19
493,19-19B,1.22,healthy,infarct,sbrt,,,,,,,,,,,,19,19B,19
494,19-2B,1.84,healthy,infarct,sbrt,,,,,,,,,,,,19,2B,2
495,19-3A,66.64,center,infarct,sbrt,FALSE,759952,158993,2105630,13.243539023730605,0.20921452933869508,918945,2.770740784,2.2913558482825414,0.826983117,19.810167093786898,19,3A,3
496,19-3B,9.33,border,infarct,sbrt,,,,,,,,,,,,19,3B,3
497,19-3C,43.22,border,infarct,sbrt,FALSE,803508,232104,3185737.75,13.725475433426395,0.28886333427918576,1035612,3.964786598266601,3.0761885242735696,0.7758774521732077,17.437403680142758,19,3C,3
498,19-4A,70.06,center,infarct,sbrt,,,,,,,,,,,,19,4A,4
499,19-4B,37.17,border,infarct,sbrt,,,,,,,,,,,,19,4B,4
500,19-4C,4.3,healthy,infarct,sbrt,,,,,,,,,,,,19,4C,4
501,19-4D,16.6,border,infarct,sbrt,,,,,,,,,,,,19,4D,4
502,19-5A,77.01,center,infarct,sbrt,FALSE,515689,45299,433970.5,9.580134219,0.087841703,560988,0.8415353051936342,0.7735825008734589,0.9192513921866421,20.323172688185842,19,5A,5
503,19-5B,41.02,border,infarct,sbrt,,,,,,,,,,,,19,5B,5
504,19-5C,36.25,border,infarct,sbrt,,,,,,,,,,,,19,5C,5
505,19-5D,4.51,healthy,infarct,sbrt,,,,,,,,,,,,19,5D,5
506,19-6A,44.94,border,infarct,sbrt,,,,,,,,,,,,19,6A,6
507,19-6B,0.99,healthy,infarct,sbrt,,,,,,,,,,,,19,6B,6
508,19-6C,39.52,border,infarct,sbrt,,,,,,,,,,,,19,6C,6
509,19-7A,32.06,,infarct,sbrt,,,,,,,,,,,,19,7A,7
510,19-7B,67.07,,infarct,sbrt,,,,,,,,,,,,19,7B,7
511,19-7C,19.43,,infarct,sbrt,,,,,,,,,,,,19,7C,7
512,19-7D,2.52,healthy,infarct,sbrt,,,,,,,,,,,,19,7D,7
513,19-8A,35.21,border,infarct,sbrt,FALSE,539088,327072,4519463.75,13.81794757729185,0.606713561,866160,8.383536176,5.217816281056618,0.6223884732612912,13.697193647824882,19,8A,8
514,19-8B,2.26,healthy,infarct,sbrt,,,,,,,,,,,,19,8B,8
515,19-8C,34.84,border,infarct,sbrt,FALSE,523243,175839,2045245.25,11.63135169103555,0.33605609630706956,699082,3.908786644064039,2.925615664542929,0.7484715669978629,15.094952738019288,19,8C,8
516,19-9A,30.9,border,infarct,sbrt,,,,,,,,,,,,19,9A,9
517,19-9B,0.63,healthy,infarct,sbrt,,,,,,,,,,,,19,9B,9
518,19-9C,26.44,border,infarct,sbrt,,,,,,,,,,,,19,9C,9
519,20-10A,3.25,healthy,control,sbrt,,,,,,,,,,,,20,10A,10
520,20-10B,1.36,healthy,control,sbrt,,,,,,,,,,,,20,10B,10
521,20-11A,5.2,healthy,control,sbrt,,,,,,,,,,,,20,11A,11
522,20-11B,2.63,healthy,control,sbrt,,,,,,,,,,,,20,11B,11
523,20-12A,2.93,healthy,control,sbrt,,,,,,,,,,,,20,12A,12
524,20-12B,1.62,healthy,control,sbrt,,,,,,,,,,,,20,12B,12
525,20-13A,1.99,healthy,control,sbrt,,,,,,,,,,,,20,13A,13
526,20-13B,1.81,healthy,control,sbrt,,,,,,,,,,,,20,13B,13
527,20-14A,2.08,healthy,control,sbrt,,,,,,,,,,,,20,14A,14
528,20-14B,2.19,healthy,control,sbrt,,,,,,,,,,,,20,14B,14
529,20-15A,1.88,healthy,control,sbrt,,,,,,,,,,,,20,15A,15
530,20-15B,3.24,healthy,control,sbrt,,,,,,,,,,,,20,15B,15
531,20-16A,3.2,healthy,control,sbrt,FALSE,310498,851831,11088867.75,13.017685139423195,2.7434347403203887,1162329,35.713169650046055,9.540214302490947,0.26713434836436156,5.553912662,20,16A,16
532,20-16B,5.25,healthy,control,sbrt,,,,,,,,,,,,20,16B,16
533,20-5A,3.66,healthy,control,sbrt,,,,,,,,,,,,20,5A,5
534,20-5B,1.59,healthy,control,sbrt,,,,,,,,,,,,20,5B,5
535,20-6A,4.54,healthy,control,sbrt,,,,,,,,,,,,20,6A,6
536,20-6B,1.68,healthy,control,sbrt,,,,,,,,,,,,20,6B,6
537,20-7A,4,healthy,control,sbrt,,,,,,,,,,,,20,7A,7
538,20-7B,1.21,healthy,control,sbrt,,,,,,,,,,,,20,7B,7
539,20-8A,4.69,healthy,control,sbrt,,,,,,,,,,,,20,8A,8
540,20-8B,1.59,healthy,control,sbrt,FALSE,1045508,1089999,13100181,12.018525705069454,1.0425544328689977,675276,12.529967250370156,19.399743216107193,1.548267671292923,26.619847662289196,20,8B,8
541,20-9A,3.51,healthy,control,sbrt,,,,,,,,,,,,20,9A,9
542,20-9B,2.38,healthy,control,sbrt,,,,,,,,,,,,20,9B,9
543,21-10A,1.84,healthy,control,sbrt,,,,,,,,,,,,21,10A,10
544,21-10B,2.17,healthy,control,sbrt,FALSE,484230,573607,6882119.75,11.997970300222976,1.184575511637032,1057837,14.212501806992545,6.505841400896357,0.45775483368420655,7.811649857208625,21,10B,10
