,Fibrosis Percentage,scar,annotation_area,expanded_analysis,group,study,location,sample,section,slide_name,subject,total_connexin_area,total_connexin_area_per_cell,total_connexin_count_per_cell,total_connexins,total_connexins_per_annotation_area,total_mean_plaque_size,total_nuclei,total_nuclei_area_per_annotation_area,total_nuclei_count_per_annotation_area
401,83.17,Center,,,infarct,sbrt,mid,5A,5,04-5A,4,,,,,,,,,
402,79.04,Border,,,infarct,sbrt,mid,5B,5,04-5B,4,,,,,,,,,
403,40.02,Healthy,,,infarct,sbrt,mid,5C,5,04-5C,4,,,,,,,,,
404,48.89,Healthy,,,infarct,sbrt,mid,5D,5,04-5D,4,,,,,,,,,
405,76,Border,,,infarct,sbrt,mid,5E,5,04-5E,4,,,,,,,,,
406,83.2,Center,,,infarct,sbrt,mid,6A,6,04-6A,4,,,,,,,,,
407,84.28,Border,,,infarct,sbrt,mid,6B,6,04-6B,4,,,,,,,,,
408,53.98,Healthy,,,infarct,sbrt,mid,6C,6,04-6C,4,,,,,,,,,
409,8.49,Healthy,,,infarct,sbrt,mid,6D,6,04-6D,4,,,,,,,,,
410,8.58,Healthy,,,infarct,sbrt,mid,6E,6,04-6E,4,,,,,,,,,
411,54.85,Border,,,infarct,sbrt,mid,7A,7,04-7A,4,,,,,,,,,
412,5.99,Healthy,,,infarct,sbrt,mid,7B,7,04-7B,4,,,,,,,,,
413,2.27,Healthy,,,infarct,sbrt,mid,7C,7,04-7C,4,,,,,,,,,
414,32.2,Healthy,,,infarct,sbrt,mid,7D,7,04-7D,4,,,,,,,,,
415,49.12,Border,,,infarct,sbrt,mid,7E,7,04-7E,4,,,,,,,,,
416,40.95,Border,,,infarct,sbrt,mid,8A,8,04-8A,4,,,,,,,,,
417,64.69,Border,,,infarct,sbrt,mid,8B,8,04-8B,4,,,,,,,,,
418,1.16,Healthy,,,infarct,sbrt,mid,8C,8,04-8C,4,,,,,,,,,
419,2.28,Healthy,,,infarct,sbrt,mid,8D,8,04-8D,4,,,,,,,,,
420,48.31,Border,,,infarct,sbrt,mid,9A,9,04-9A,4,,,,,,,,,
421,35.59,Border,,,infarct,sbrt,mid,9C,9,04-9C,4,,,,,,,,,
437,6.95,Border,,,radiation,sbrt,apex,1,1,08-01,8,,,,,,,,,
461,12.66,Border,,,radiation,sbrt,base,10A,10,08-10A,8,,,,,,,,,
462,2.76,Healthy,,,radiation,sbrt,base,10B,10,08-10B,8,,,,,,,,,
463,2.03,Healthy,,,radiation,sbrt,base,11A,11,08-11A,8,,,,,,,,,
464,1.24,Healthy,,,radiation,sbrt,base,11B,11,08-11B,8,,,,,,,,,
465,3.96,Healthy,,,radiation,sbrt,base,13A,13,08-13A,8,,,,,,,,,
466,1.74,Healthy,,,radiation,sbrt,base,13B,13,08-13B,8,,,,,,,,,
467,10.62,Border,,,radiation,sbrt,base,14A,14,08-14A,8,,,,,,,,,
4,4.83,Healthy,2215495,FALSE,radiation,sbrt,base,14B,14,08-14B,8,20515734.5,35.1658719,2.797563931,1632096,9.260113203,12.57017633,583399,4.273087166,0.263326706
468,2.31,Healthy,,,radiation,sbrt,base,14B,14,08-14B,8,,,,,,,,,
469,3.37,Healthy,,,radiation,sbrt,base,15A,15,08-15A,8,,,,,,,,,
470,1.65,Healthy,,,radiation,sbrt,base,15B,15,08-15B,8,,,,,,,,,
5,59.99,Center,1016923,FALSE,radiation,sbrt,apex,2A,2,08-2A,8,8500067.25,22.42874247,1.683308662,637942,8.358614418,13.32420071,378981,8.153575049,0.372674234
438,44.03,Center,,,radiation,sbrt,apex,2A,2,08-2A,8,,,,,,,,,
6,66.55,Center,1041925,FALSE,radiation,sbrt,apex,2B,2,08-2B,8,10811637.75,48.3776814,3.662190582,818441,10.37659884,13.21003927,223484,4.299663363,0.214491446
439,4.16,Healthy,,,radiation,sbrt,apex,2B,2,08-2B,8,,,,,,,,,
440,32.87,Border,,,radiation,sbrt,apex,3A,3,08-3A,8,,,,,,,,,
441,42.8,Border,,,radiation,sbrt,apex,3B,3,08-3B,8,,,,,,,,,
442,3.36,Healthy,,,radiation,sbrt,apex,3C,3,08-3C,8,,,,,,,,,
