,Fibrosis Percentage,scar,annotation_area,expanded_analysis,group,study,location,sample,section,slide_name,subject,total_connexin_area,total_connexin_area_per_cell,total_connexin_count_per_cell,total_connexins,total_connexins_per_annotation_area,total_mean_plaque_size,total_nuclei,total_nuclei_area_per_annotation_area,total_nuclei_count_per_annotation_area
44,80.67,Center,1004471,FALSE,infarct,sbrt,mid,5A,5,13-5A,13,4410449,6.806700136,0.550212437,356514,4.390817654,12.37104013,647957,12.77238442,0.645072879
162,23.74,Border,,,infarct,sbrt,mid,5A,5,13-5A,13,,,,,,,,,
45,56.69,Border,1158080,FALSE,infarct,sbrt,mid,5B,5,13-5B,13,7634932,13.28056776,1.014420025,583185,6.592750069,13.09178391,574895,10.2540103,0.4964208
163,20.46,Border,,,infarct,sbrt,mid,5B,5,13-5B,13,,,,,,,,,
164,0.81,Healthy,,,infarct,sbrt,mid,5C,5,13-5C,13,,,,,,,,,
165,20.13,Border,,,infarct,sbrt,mid,6A,6,13-6A,13,,,,,,,,,
166,33.77,Border,,,infarct,sbrt,mid,6B,6,13-6B,13,,,,,,,,,
167,0.51,Healthy,,,infarct,sbrt,mid,6C,6,13-6C,13,,,,,,,,,
168,29.99,Border,,,infarct,sbrt,mid,7A,7,13-7A,13,,,,,,,,,
169,31.02,Border,,,infarct,sbrt,mid,7B,7,13-7B,13,,,,,,,,,
170,0.58,Healthy,,,infarct,sbrt,mid,7C,7,13-7C,13,,,,,,,,,
46,25.96,Border,1013398,FALSE,infarct,sbrt,mid,8A,8,13-8A,13,5052889.25,8.211927383,0.646968769,398087,4.986085674,12.69292705,615311,11.6534333,0.607176055
171,4.78,Border,,,infarct,sbrt,mid,8A,8,13-8A,13,,,,,,,,,
47,44.57,Border,695712,FALSE,infarct,sbrt,mid,8B,8,13-8B,13,3222421.5,7.472766927,0.613349968,264490,4.631832569,12.18352868,431222,12.32506662,0.61982832
172,36.64,Border,,,infarct,sbrt,mid,8B,8,13-8B,13,,,,,,,,,
173,0.86,Healthy,,,infarct,sbrt,mid,8C,8,13-8C,13,,,,,,,,,
174,7.79,Border,,,infarct,sbrt,mid,9A,9,13-9A,13,,,,,,,,,
175,38.59,Border,,,infarct,sbrt,mid,9B,9,13-9B,13,,,,,,,,,
176,1.04,Healthy,,,infarct,sbrt,mid,9C,9,13-9C,13,,,,,,,,,
219,15.49,,,,infarct,sbrt,base,10A,10,14-10A,14,,,,,,,,,
220,35.66,,,,infarct,sbrt,base,10B,10,14-10B,14,,,,,,,,,
221,20.46,,,,infarct,sbrt,base,10C,10,14-10C,14,,,,,,,,,
222,0.95,,,,infarct,sbrt,base,10D,10,14-10D,14,,,,,,,,,
223,21.8,Border,,,infarct,sbrt,base,11A,11,14-11A,14,,,,,,,,,
224,26.35,Border,,,infarct,sbrt,base,11B,11,14-11B,14,,,,,,,,,
225,11.68,Border,,,infarct,sbrt,base,11C,11,14-11C,14,,,,,,,,,
226,1.68,Healthy,,,infarct,sbrt,base,11D,11,14-11D,14,,,,,,,,,
227,31.19,Border,,,infarct,sbrt,base,12A,12,14-12A,14,,,,,,,,,
228,11.53,Border,,,infarct,sbrt,base,12B,12,14-12B,14,,,,,,,,,
229,3.7,Healthy,,,infarct,sbrt,base,12C,12,14-12C,14,,,,,,,,,
230,1.29,Healthy,,,infarct,sbrt,base,12D,12,14-12D,14,,,,,,,,,
231,18.87,Border,,,infarct,sbrt,base,13A,13,14-13A,14,,,,,,,,,
232,7.8,Border,,,infarct,sbrt,base,13B,13,14-13B,14,,,,,,,,,
233,1.51,Healthy,,,infarct,sbrt,base,13C,13,14-13C,14,,,,,,,,,
234,5.84,Healthy,,,infarct,sbrt,base,14A,14,14-14A,14,,,,,,,,,
235,2.67,Healthy,,,infarct,sbrt,base,14B,14,14-14B,14,,,,,,,,,
236,1.18,Healthy,,,infarct,sbrt,base,14C,14,14-14C,14,,,,,,,,,
237,1.15,Healthy,,,infarct,sbrt,base,15A,15,14-15A,14,,,,,,,,,
238,1.54,Healthy,,,infarct,sbrt,base,15B,15,14-15B,14,,,,,,,,,
239,2.08,Healthy,,,infarct,sbrt,base,15C,15,14-15C,14,,,,,,,,,
240,0.9,Healthy,,,infarct,sbrt,base,16A,16,14-16A,14,,,,,,,,,
241,1.56,Healthy,,,infarct,sbrt,base,16B,16,14-16B,14,,,,,,,,,
242,1.92,Healthy,,,infarct,sbrt,base,19A,19,14-19A,14,,,,,,,,,
243,1.1,Healthy,,,infarct,sbrt,base,19B,19,14-19B,14,,,,,,,,,
183,43.3,Center,,,infarct,sbrt,apex,1A,1,14-1A,14,,,,,,,,,
184,3.24,Healthy,,,infarct,sbrt,apex,1B,1,14-1B,14,,,,,,,,,
244,3.01,Healthy,,,infarct,sbrt,base,22A,22,14-22A,14,,,,,,,,,
245,0.85,Healthy,,,infarct,sbrt,base,22B,22,14-22B,14,,,,,,,,,
48,73.56,Center,677198,FALSE,infarct,sbrt,apex,2A,2,14-2A,14,2487564.75,4.98497982,0.357077585,178186,3.673319694,13.96049493,499012,17.59821574,0.736877545
185,45.85,Center,,,infarct,sbrt,apex,2A,2,14-2A,14,,,,,,,,,
49,33.85,Border,794593,FALSE,infarct,sbrt,apex,2B,2,14-2B,14,5066364.75,12.32008703,0.9322444,383365,6.376050066,13.21551198,411228,11.61025833,0.517532875
186,10.94,Border,,,infarct,sbrt,apex,2B,2,14-2B,14,,,,,,,,,
187,1.94,Healthy,,,infarct,sbrt,apex,2C,2,14-2C,14,,,,,,,,,
188,3.41,Healthy,,,infarct,sbrt,apex,2D,2,14-2D,14,,,,,,,,,
189,37.8,Border,,,infarct,sbrt,apex,3A,3,14-3A,14,,,,,,,,,
190,63.42,Center,,,infarct,sbrt,apex,3B,3,14-3B,14,,,,,,,,,
191,15.91,Border,,,infarct,sbrt,apex,3C,3,14-3C,14,,,,,,,,,
192,3.61,Healthy,,,infarct,sbrt,apex,3D,3,14-3D,14,,,,,,,,,
193,2.45,Healthy,,,infarct,sbrt,apex,3E,3,14-3E,14,,,,,,,,,
194,23.04,Border,,,infarct,sbrt,apex,4A,4,14-4A,14,,,,,,,,,
195,58.72,Center,,,infarct,sbrt,apex,4B,4,14-4B,14,,,,,,,,,
196,25.5,Border,,,infarct,sbrt,apex,4C,4,14-4C,14,,,,,,,,,
197,3.97,Healthy,,,infarct,sbrt,apex,4D,4,14-4D,14,,,,,,,,,
198,1.91,Healthy,,,infarct,sbrt,apex,4E,4,14-4E,14,,,,,,,,,
199,16.41,Border,,,infarct,sbrt,mid,5A,5,14-5A,14,,,,,,,,,
50,5.63,Healthy,526260,FALSE,infarct,sbrt,mid,5B,5,14-5B,14,2101433.25,5.710447475,0.43006212,158262,3.993146449,13.27819218,367998,14.09082773,0.699270323
200,34.03,Border,,,infarct,sbrt,mid,5B,5,14-5B,14,,,,,,,,,
201,25.08,Border,,,infarct,sbrt,mid,5C,5,14-5C,14,,,,,,,,,
202,1.07,Healthy,,,infarct,sbrt,mid,5D,5,14-5D,14,,,,,,,,,
203,17.15,Border,,,infarct,sbrt,mid,6A,6,14-6A,14,,,,,,,,,
204,39.54,Border,,,infarct,sbrt,mid,6B,6,14-6B,14,,,,,,,,,
205,31.92,Border,,,infarct,sbrt,mid,6C,6,14-6C,14,,,,,,,,,
206,0.93,Healthy,,,infarct,sbrt,mid,6D,6,14-6D,14,,,,,,,,,
207,29.58,Border,,,infarct,sbrt,mid,7A,7,14-7A,14,,,,,,,,,
208,25.63,Border,,,infarct,sbrt,mid,7B,7,14-7B,14,,,,,,,,,
209,21.58,Border,,,infarct,sbrt,mid,7C,7,14-7C,14,,,,,,,,,
210,0.73,Healthy,,,infarct,sbrt,mid,7D,7,14-7D,14,,,,,,,,,
51,36.87,Border,575473,FALSE,infarct,sbrt,mid,8A,8,14-8A,14,2333774,5.935380992,0.463574239,182276,4.055401383,12.80351774,393197,12.07288743,0.683258815
211,23.31,Border,,,infarct,sbrt,mid,8A,8,14-8A,14,,,,,,,,,
52,63.84,Center,565438,FALSE,infarct,sbrt,mid,8B,8,14-8B,14,2438240,6.552030849,0.519443213,193303,4.312126175,12.61356523,372135,12.39086646,0.658135817
212,24.28,Border,,,infarct,sbrt,mid,8B,8,14-8B,14,,,,,,,,,
213,18.99,Border,,,infarct,sbrt,mid,8C,8,14-8C,14,,,,,,,,,
214,0.92,Healthy,,,infarct,sbrt,mid,8D,8,14-8D,14,,,,,,,,,
215,32.22,,,,infarct,sbrt,mid,9A,9,14-9A,14,,,,,,,,,
216,29.39,,,,infarct,sbrt,mid,9B,9,14-9B,14,,,,,,,,,
217,19.72,,,,infarct,sbrt,mid,9C,9,14-9C,14,,,,,,,,,
218,1.84,Healthy,,,infarct,sbrt,mid,9D,9,14-9D,14,,,,,,,,,
246,37.65,Border,,,infarct,sbrt,apex,1A,1,15-1A,15,,,,,,,,,
247,15.17,Border,,,infarct,sbrt,apex,1B,1,15-1B,15,,,,,,,,,
53,49.38,Border,960942,FALSE,infarct,sbrt,apex,2A,2,15-2A,15,3893068,5.920448687,0.461368721,303379,4.051303825,12.83235821,657563,17.09030722,0.684289999
248,45.94,Center,,,infarct,sbrt,apex,2A,2,15-2A,15,,,,,,,,,
54,3.95,Healthy,761299,FALSE,infarct,sbrt,apex,2B,2,15-2B,15,3341191.5,6.489565043,0.478663937,246443,4.388803217,13.55766445,514856,17.89984421,0.67628619
249,42.5,Border,,,infarct,sbrt,apex,2B,2,15-2B,15,,,,,,,,,
250,8.39,Healthy,,,infarct,sbrt,apex,2C,2,15-2C,15,,,,,,,,,
251,25.93,Border,,,infarct,sbrt,apex,3A,3,15-3A,15,,,,,,,,,
252,63.43,Center,,,infarct,sbrt,apex,3B,3,15-3B,15,,,,,,,,,
253,26.75,Border,,,infarct,sbrt,apex,3B,3,15-3B,15,,,,,,,,,
254,4.55,Healthy,,,infarct,sbrt,apex,3D,3,15-3D,15,,,,,,,,,
255,27.68,Border,,,infarct,sbrt,apex,4A,4,15-4A,15,,,,,,,,,
256,66.98,Center,,,infarct,sbrt,apex,4B,4,15-4B,15,,,,,,,,,
257,48.76,center,,,infarct,sbrt,apex,4C,4,15-4C,15,,,,,,,,,
258,4.7,Healthy,,,infarct,sbrt,apex,4D,4,15-4D,15,,,,,,,,,
55,45.51,Border,895526,FALSE,infarct,sbrt,mid,5A,5,15-5A,15,6232124.5,14.53275401,1.088286116,466693,6.959177623,13.35379896,428833,10.75971664,0.478861585
259,20,Border,,,infarct,sbrt,mid,5A,5,15-5A,15,,,,,,,,,
56,52.11,Border,660408,FALSE,infarct,sbrt,mid,5B,5,15-5B,15,1962036.75,3.666529159,0.234128356,125287,2.97094637,15.66033786,535121,21.9647131,0.810288488
260,74.84,Center,,,infarct,sbrt,mid,5B,5,15-5B,15,,,,,,,,,
261,71.21,Center,,,infarct,sbrt,mid,5C,5,15-5C,15,,,,,,,,,
262,48.21,Border,,,infarct,sbrt,mid,5D,5,15-5D,15,,,,,,,,,
263,2.67,Healthy,,,infarct,sbrt,mid,5E,5,15-5E,15,,,,,,,,,
264,25.43,Border,,,infarct,sbrt,mid,6A,6,15-6A,15,,,,,,,,,
265,82.18,Center,,,infarct,sbrt,mid,6B,6,15-6B,15,,,,,,,,,
57,3.44,Healthy,481918,FALSE,infarct,sbrt,mid,8B,8,15-8B,15,1514124.25,4.157386306,0.32321987,117717,3.141871127,12.86240942,364201,16.65705836,0.755732303
565,3.52,Healthy,,,control,sbrt,base,10A,10,16-10A,16,,,,,,,,,
566,4.49,Healthy,,,control,sbrt,base,10B,10,16-10B,16,,,,,,,,,
567,5,Healthy,,,control,sbrt,base,11B,11,16-11B,16,,,,,,,,,
568,3.07,Healthy,,,control,sbrt,base,12A,12,16-12A,16,,,,,,,,,
569,3.75,Healthy,,,control,sbrt,base,12B,12,16-12B,16,,,,,,,,,
58,6.49,Healthy,1661425,FALSE,control,sbrt,base,13A,13,16-13A,16,11913199.75,15.28516922,1.131682739,882029,7.170470981,13.5065851,779396,9.125613555,0.46911296
570,0.63,Healthy,,,control,sbrt,base,13A,13,16-13A,16,,,,,,,,,
571,0.57,Healthy,,,control,sbrt,base,13B,13,16-13B,16,,,,,,,,,
572,1.6,Healthy,,,control,sbrt,base,14A,14,16-14A,16,,,,,,,,,
573,4.87,Healthy,,,control,sbrt,base,14B,14,16-14B,16,,,,,,,,,
59,2.37,Healthy,1393520,FALSE,control,sbrt,apex,4A,4,16-4A,16,11962197,21.88381572,1.549325586,846897,8.584158821,14.12473654,546623,8.785684095,0.392260606
553,3.2,Healthy,,,control,sbrt,apex,4A,4,16-4A,16,,,,,,,,,
554,8.06,Healthy,,,control,sbrt,apex,4B,4,16-4B,16,,,,,,,,,
555,5.45,Healthy,,,control,sbrt,mid,5A,5,16-5A,16,,,,,,,,,
556,6.25,Healthy,,,control,sbrt,mid,5B,5,16-5B,16,,,,,,,,,
557,1.05,Healthy,,,control,sbrt,mid,6A,6,16-6A,16,,,,,,,,,
558,5.87,Healthy,,,control,sbrt,mid,6B,6,16-6B,16,,,,,,,,,
559,3.65,Healthy,,,control,sbrt,mid,7A,7,16-7A,16,,,,,,,,,
560,5.28,Healthy,,,control,sbrt,mid,7B,7,16-7B,16,,,,,,,,,
561,3.9,Healthy,,,control,sbrt,mid,8A,8,16-8A,16,,,,,,,,,
562,4.71,Healthy,,,control,sbrt,mid,8B,8,16-8B,16,,,,,,,,,
563,4.61,Healthy,,,control,sbrt,mid,9A,9,16-9A,16,,,,,,,,,
564,0.97,Healthy,,,control,sbrt,mid,9B,9,16-9B,16,,,,,,,,,
527,3.34,Healthy,,,control,sbrt,base,10A,10,17-10A,17,,,,,,,,,
546,3.34,Healthy,,,control,sbrt,base,10A,10,17-10A,17,,,,,,,,,
528,2.76,Healthy,,,control,sbrt,base,10B,10,17-10B,17,,,,,,,,,
547,2.76,Healthy,,,control,sbrt,base,10B,10,17-10B,17,,,,,,,,,
529,1.62,Healthy,,,control,sbrt,base,11A,11,17-11A,17,,,,,,,,,
548,1.62,Healthy,,,control,sbrt,base,11A,11,17-11A,17,,,,,,,,,
60,6.19,Healthy,1870282,FALSE,control,sbrt,base,11B,11,17-11B,17,17114883.25,30.63477559,2.347710207,1311607,9.150963999,13.0487892,558675,6.440999806,0.298711638
530,0.42,Healthy,,,control,sbrt,base,12A,12,17-12A,17,,,,,,,,,
549,0.42,Healthy,,,control,sbrt,base,12A,12,17-12A,17,,,,,,,,,
61,4.72,Healthy,1471013,FALSE,control,sbrt,base,12B,12,17-12B,17,13697581,32.89066605,2.532200126,1054555,9.311665499,12.98896786,416458,6.510013338,0.283109667
531,4.72,Healthy,,,control,sbrt,base,12B,12,17-12B,17,,,,,,,,,
550,4.72,Healthy,,,control,sbrt,base,12B,12,17-12B,17,,,,,,,,,
532,0.77,Healthy,,,control,sbrt,base,13A,13,17-13A,17,,,,,,,,,
551,0.77,Healthy,,,control,sbrt,base,13A,13,17-13A,17,,,,,,,,,
62,2.25,Healthy,1813489,FALSE,control,sbrt,base,13B,13,17-13B,17,16769612.25,33.40387201,2.612340795,1311463,9.247154105,12.78695034,502026,5.977498485,0.276828809
533,1.24,Healthy,,,control,sbrt,base,13B,13,17-13B,17,,,,,,,,,
552,1.24,Healthy,,,control,sbrt,base,13B,13,17-13B,17,,,,,,,,,
515,3.56,Healthy,,,control,sbrt,apex,4A,4,17-4A,17,,,,,,,,,
534,3.56,Healthy,,,control,sbrt,apex,4A,4,17-4A,17,,,,,,,,,
516,2.97,Healthy,,,control,sbrt,apex,4B,4,17-4B,17,,,,,,,,,
535,2.97,Healthy,,,control,sbrt,apex,4B,4,17-4B,17,,,,,,,,,
517,5.03,Healthy,,,control,sbrt,mid,5A,5,17-5A,17,,,,,,,,,
536,5.03,Healthy,,,control,sbrt,mid,5A,5,17-5A,17,,,,,,,,,
518,3.69,Healthy,,,control,sbrt,mid,5B,5,17-5B,17,,,,,,,,,
537,3.69,Healthy,,,control,sbrt,mid,5B,5,17-5B,17,,,,,,,,,
519,5.39,Healthy,,,control,sbrt,mid,6A,6,17-6A,17,,,,,,,,,
538,5.39,Healthy,,,control,sbrt,mid,6A,6,17-6A,17,,,,,,,,,
520,3.44,Healthy,,,control,sbrt,mid,6B,6,17-6B,17,,,,,,,,,
539,3.44,Healthy,,,control,sbrt,mid,6B,6,17-6B,17,,,,,,,,,
521,6.02,Healthy,,,control,sbrt,mid,7A,7,17-7A,17,,,,,,,,,
540,6.02,Healthy,,,control,sbrt,mid,7A,7,17-7A,17,,,,,,,,,
522,4.88,Healthy,,,control,sbrt,mid,7B,7,17-7B,17,,,,,,,,,
541,4.88,Healthy,,,control,sbrt,mid,7B,7,17-7B,17,,,,,,,,,
523,5.49,Healthy,,,control,sbrt,mid,8A,8,17-8A,17,,,,,,,,,
542,5.49,Healthy,,,control,sbrt,mid,8A,8,17-8A,17,,,,,,,,,
524,1.91,Healthy,,,control,sbrt,mid,8B,8,17-8B,17,,,,,,,,,
543,1.91,Healthy,,,control,sbrt,mid,8B,8,17-8B,17,,,,,,,,,
525,4.48,Healthy,,,control,sbrt,mid,9A,9,17-9A,17,,,,,,,,,
544,4.48,Healthy,,,control,sbrt,mid,9A,9,17-9A,17,,,,,,,,,
526,3.07,Healthy,,,control,sbrt,mid,9B,9,17-9B,17,,,,,,,,,
545,3.07,Healthy,,,control,sbrt,mid,9B,9,17-9B,17,,,,,,,,,
298,17.31,Border,,,infarct,sbrt,base,10A,10,18-10A,18,,,,,,,,,
299,1.04,Healthy,,,infarct,sbrt,base,10B,10,18-10B,18,,,,,,,,,
300,27.16,Border,,,infarct,sbrt,base,10C,10,18-10C,18,,,,,,,,,
301,13.05,Border,,,infarct,sbrt,base,11A,11,18-11A,18,,,,,,,,,
302,1.04,Healthy,,,infarct,sbrt,base,11B,11,18-11B,18,,,,,,,,,
303,21.53,Border,,,infarct,sbrt,base,11C,11,18-11C,18,,,,,,,,,
304,27.81,Border,,,infarct,sbrt,base,12A,12,18-12A,18,,,,,,,,,
305,1.06,Healthy,,,infarct,sbrt,base,12B,12,18-12B,18,,,,,,,,,
306,7.38,Healthy,,,infarct,sbrt,base,13A,13,18-13A,18,,,,,,,,,
307,2.71,Healthy,,,infarct,sbrt,base,13B,13,18-13B,18,,,,,,,,,
266,58.2,Center,,,infarct,sbrt,apex,1A,1,18-1A,18,,,,,,,,,
267,45.64,Center,,,infarct,sbrt,apex,1B,1,18-1B,18,,,,,,,,,
63,4.46,Healthy,654414,FALSE,infarct,sbrt,apex,2A,2,18-2A,18,2547049.5,5.358712209,0.376815131,179104,3.89210729,14.2210643,475310,16.55788843,0.726313924
268,53.35,Center,,,infarct,sbrt,apex,2A,2,18-2A,18,,,,,,,,,
64,3.85,Healthy,744102,FALSE,infarct,sbrt,apex,2B,2,18-2B,18,4199713.5,9.523095081,0.687294644,303099,5.644002435,13.85591341,441003,13.02023983,0.592664715
269,19.68,Border,,,infarct,sbrt,apex,2B,2,18-2B,18,,,,,,,,,
270,35.88,Border,,,infarct,sbrt,apex,2C,2,18-2C,18,,,,,,,,,
271,52.27,Center,,,infarct,sbrt,apex,3A,3,18-3A,18,,,,,,,,,
272,26.37,Border,,,infarct,sbrt,apex,3B,3,18-3B,18,,,,,,,,,
273,11.03,Healthy,,,infarct,sbrt,apex,3C,3,18-3C,18,,,,,,,,,
274,14.26,Border,,,infarct,sbrt,apex,3D,3,18-3D,18,,,,,,,,,
275,36.04,Border,,,infarct,sbrt,apex,4A,4,18-4A,18,,,,,,,,,
276,3.22,Healthy,,,infarct,sbrt,apex,4B,4,18-4B,18,,,,,,,,,
277,7.15,Healthy,,,infarct,sbrt,apex,4C,4,18-4C,18,,,,,,,,,
278,16.38,Border,,,infarct,sbrt,apex,4D,4,18-4D,18,,,,,,,,,
279,43.87,Center,,,infarct,sbrt,apex,4E,4,18-4E,18,,,,,,,,,
65,2.7,Healthy,995663,FALSE,infarct,sbrt,mid,5A,5,18-5A,18,5906496.5,10.02989782,0.690748172,406774,5.932224558,14.5203393,588889,12.3052225,0.591454137
280,37.26,Border,,,infarct,sbrt,mid,5A,5,18-5A,18,,,,,,,,,
281,14.62,Border,,,infarct,sbrt,mid,5B,5,18-5B,18,,,,,,,,,
282,1.4,Healthy,,,infarct,sbrt,mid,5C,5,18-5C,18,,,,,,,,,
283,24.38,Border,,,infarct,sbrt,mid,5D,5,18-5D,18,,,,,,,,,
284,31.23,Border,,,infarct,sbrt,mid,6A,6,18-6A,18,,,,,,,,,
285,6.27,Border,,,infarct,sbrt,mid,6B,6,18-6B,18,,,,,,,,,
286,1.34,Healthy,,,infarct,sbrt,mid,6C,6,18-6C,18,,,,,,,,,
287,22.47,Border,,,infarct,sbrt,mid,6D,6,18-6D,18,,,,,,,,,
288,24.15,Border,,,infarct,sbrt,mid,7A,7,18-7A,18,,,,,,,,,
289,1.88,Healthy,,,infarct,sbrt,mid,7B,7,18-7B,18,,,,,,,,,
290,12.43,Border,,,infarct,sbrt,mid,7C,7,18-7C,18,,,,,,,,,
291,26.97,Border,,,infarct,sbrt,mid,7D,7,18-7D,18,,,,,,,,,
66,32.74,Border,1096388,FALSE,infarct,sbrt,mid,8A,8,18-8A,18,4222258.25,5.356102247,0.390811713,308080,3.851062078,13.70507092,788308,13.70036634,0.719004586
292,24.72,Border,,,infarct,sbrt,mid,8A,8,18-8A,18,,,,,,,,,
293,1.39,Healthy,,,infarct,sbrt,mid,8B,8,18-8B,18,,,,,,,,,
67,80.4,Center,950673,FALSE,infarct,sbrt,mid,8C,8,18-8C,18,5054852.75,8.364183951,0.573063399,346328,5.317130864,14.59556475,604345,11.69456375,0.635702287
294,16.22,Border,,,infarct,sbrt,mid,8C,8,18-8C,18,,,,,,,,,
295,21.55,Border,,,infarct,sbrt,mid,9A,9,18-9A,18,,,,,,,,,
296,1.35,Healthy,,,infarct,sbrt,mid,9B,9,18-9B,18,,,,,,,,,
297,10.58,Border,,,infarct,sbrt,mid,9C,9,18-9C,18,,,,,,,,,
496,29.64,Border,,,infarct,sbrt,base,10A,10,19-10A,19,,,,,,,,,
497,1.79,Healthy,,,infarct,sbrt,base,10B,10,19-10B,19,,,,,,,,,
498,26.93,Border,,,infarct,sbrt,base,10C,10,19-10C,19,,,,,,,,,
499,31.01,Border,,,infarct,sbrt,base,11A,11,19-11A,19,,,,,,,,,
500,2.86,Healthy,,,infarct,sbrt,base,11B,11,19-11B,19,,,,,,,,,
501,23.14,Border,,,infarct,sbrt,base,11C,11,19-11C,19,,,,,,,,,
502,28.81,Border,,,infarct,sbrt,base,12A,12,19-12A,19,,,,,,,,,
503,3.38,Healthy,,,infarct,sbrt,base,12B,12,19-12B,19,,,,,,,,,
504,27.56,border,,,infarct,sbrt,base,13A,13,19-13A,19,,,,,,,,,
505,23.04,Border,,,infarct,sbrt,base,14A,14,19-14A,19,,,,,,,,,
506,1.39,Healthy,,,infarct,sbrt,base,14B,14,19-14B,19,,,,,,,,,
507,16.79,Healthy,,,infarct,sbrt,base,15A,15,19-15A,19,,,,,,,,,
508,1.32,Healthy,,,infarct,sbrt,base,15B,15,19-15B,19,,,,,,,,,
509,7.34,Healthy,,,infarct,sbrt,base,16A,16,19-16A,19,,,,,,,,,
510,0.36,Healthy,,,infarct,sbrt,base,16B,16,19-16B,19,,,,,,,,,
511,1.28,Healthy,,,infarct,sbrt,base,17A,17,19-17A,19,,,,,,,,,
512,0.76,Healthy,,,infarct,sbrt,base,17B,17,19-17B,19,,,,,,,,,
68,37.94,Border,855083,FALSE,infarct,sbrt,base,19A,19,19-19A,19,7226397.5,20.9956172,1.484363106,510897,8.451106501,14.14452913,344186,8.965981957,0.40251765
513,1.22,Healthy,,,infarct,sbrt,base,19A,19,19-19A,19,,,,,,,,,
514,1.22,Healthy,,,infarct,sbrt,base,19B,19,19-19B,19,,,,,,,,,
471,1.84,Healthy,,,infarct,sbrt,apex,2B,2,19-2B,19,,,,,,,,,
69,45.92,Border,1132525,FALSE,infarct,sbrt,apex,3A,3,19-3A,19,2394525.25,2.531443431,0.197282414,186612,2.114324408,12.83157166,945913,19.47582084,0.835224829
472,66.64,Center,,,infarct,sbrt,apex,3A,3,19-3A,19,,,,,,,,,
473,9.33,Border,,,infarct,sbrt,apex,3B,3,19-3B,19,,,,,,,,,
474,43.22,Border,,,infarct,sbrt,apex,3C,3,19-3C,19,,,,,,,,,
475,70.06,Center,,,infarct,sbrt,apex,4A,4,19-4A,19,,,,,,,,,
476,37.17,Border,,,infarct,sbrt,apex,4B,4,19-4B,19,,,,,,,,,
477,4.3,Healthy,,,infarct,sbrt,apex,4C,4,19-4C,19,,,,,,,,,
478,16.6,Border,,,infarct,sbrt,apex,4D,4,19-4D,19,,,,,,,,,
70,80.46,Center,171702,FALSE,infarct,sbrt,mid,5A,5,19-5A,19,60005.5,0.368156747,0.053457595,8713,0.349474671,6.886893148,162989,18.49636434,0.949255105
479,77.01,Center,,,infarct,sbrt,mid,5A,5,19-5A,19,,,,,,,,,
480,41.02,Border,,,infarct,sbrt,mid,5B,5,19-5B,19,,,,,,,,,
481,36.25,Border,,,infarct,sbrt,mid,5C,5,19-5C,19,,,,,,,,,
482,4.51,Healthy,,,infarct,sbrt,mid,5D,5,19-5D,19,,,,,,,,,
483,44.94,Border,,,infarct,sbrt,mid,6A,6,19-6A,19,,,,,,,,,
484,0.99,Healthy,,,infarct,sbrt,mid,6B,6,19-6B,19,,,,,,,,,
485,39.52,Border,,,infarct,sbrt,mid,6C,6,19-6C,19,,,,,,,,,
486,32.06,,,,infarct,sbrt,mid,7A,7,19-7A,19,,,,,,,,,
487,67.07,,,,infarct,sbrt,mid,7B,7,19-7B,19,,,,,,,,,
488,19.43,,,,infarct,sbrt,mid,7C,7,19-7C,19,,,,,,,,,
489,2.52,Healthy,,,infarct,sbrt,mid,7D,7,19-7D,19,,,,,,,,,
71,34.06,Border,866160,FALSE,infarct,sbrt,mid,8A,8,19-8A,19,4519463.75,8.383536176,0.606713561,327072,5.217816281,13.81794758,539088,13.69719365,0.622388473
490,35.21,Border,,,infarct,sbrt,mid,8A,8,19-8A,19,,,,,,,,,
491,2.26,Healthy,,,infarct,sbrt,mid,8B,8,19-8B,19,,,,,,,,,
492,34.84,Border,,,infarct,sbrt,mid,8C,8,19-8C,19,,,,,,,,,
493,30.9,Border,,,infarct,sbrt,mid,9A,9,19-9A,19,,,,,,,,,
494,0.63,Healthy,,,infarct,sbrt,mid,9B,9,19-9B,19,,,,,,,,,
495,26.44,Border,,,infarct,sbrt,mid,9C,9,19-9C,19,,,,,,,,,
318,3.25,Healthy,,,control,sbrt,base,10A,10,20-10A,20,,,,,,,,,
319,1.36,Healthy,,,control,sbrt,base,10B,10,20-10B,20,,,,,,,,,
320,5.2,Healthy,,,control,sbrt,base,11A,11,20-11A,20,,,,,,,,,
321,2.63,Healthy,,,control,sbrt,base,11B,11,20-11B,20,,,,,,,,,
322,2.93,Healthy,,,control,sbrt,base,12A,12,20-12A,20,,,,,,,,,
323,1.62,Healthy,,,control,sbrt,base,12B,12,20-12B,20,,,,,,,,,
324,1.99,Healthy,,,control,sbrt,base,13A,13,20-13A,20,,,,,,,,,
325,1.81,Healthy,,,control,sbrt,base,13B,13,20-13B,20,,,,,,,,,
326,2.08,Healthy,,,control,sbrt,base,14A,14,20-14A,20,,,,,,,,,
327,2.19,Healthy,,,control,sbrt,base,14B,14,20-14B,20,,,,,,,,,
328,1.88,Healthy,,,control,sbrt,base,15A,15,20-15A,20,,,,,,,,,
329,3.24,Healthy,,,control,sbrt,base,15B,15,20-15B,20,,,,,,,,,
72,35.17,Border,1011227,FALSE,control,sbrt,base,16A,16,20-16A,20,12197512.5,84.85344144,6.034720483,867479,12.0620914,14.06087352,143748,2.742931854,0.142152059
